Epoch 5: Hits@1 Left = 0.524, Hits@1 Right = 0.421, Average Hits@1 = 0.473
Epoch 10: Hits@1 Left = 0.535, Hits@1 Right = 0.431, Average Hits@1 = 0.483
Epoch 15: Hits@1 Left = 0.545, Hits@1 Right = 0.438, Average Hits@1 = 0.491
Epoch 20: Hits@1 Left = 0.555, Hits@1 Right = 0.442, Average Hits@1 = 0.499
Epoch 25: Hits@1 Left = 0.560, Hits@1 Right = 0.451, Average Hits@1 = 0.505
Epoch 30: Hits@1 Left = 0.562, Hits@1 Right = 0.451, Average Hits@1 = 0.506
Epoch 35: Hits@1 Left = 0.554, Hits@1 Right = 0.446, Average Hits@1 = 0.500
Epoch 40: Hits@1 Left = 0.556, Hits@1 Right = 0.449, Average Hits@1 = 0.502
Epoch 45: Hits@1 Left = 0.555, Hits@1 Right = 0.449, Average Hits@1 = 0.502
Epoch 50: Hits@1 Left = 0.547, Hits@1 Right = 0.442, Average Hits@1 = 0.495
Epoch 55: Hits@1 Left = 0.564, Hits@1 Right = 0.467, Average Hits@1 = 0.516
Epoch 60: Hits@1 Left = 0.560, Hits@1 Right = 0.452, Average Hits@1 = 0.506
Epoch 65: Hits@1 Left = 0.564, Hits@1 Right = 0.460, Average Hits@1 = 0.512
Epoch 70: Hits@1 Left = 0.560, Hits@1 Right = 0.457, Average Hits@1 = 0.508
Epoch 75: Hits@1 Left = 0.567, Hits@1 Right = 0.460, Average Hits@1 = 0.513
Epoch 80: Hits@1 Left = 0.567, Hits@1 Right = 0.465, Average Hits@1 = 0.516
Epoch 85: Hits@1 Left = 0.566, Hits@1 Right = 0.465, Average Hits@1 = 0.515
Epoch 90: Hits@1 Left = 0.567, Hits@1 Right = 0.468, Average Hits@1 = 0.517
Epoch 95: Hits@1 Left = 0.569, Hits@1 Right = 0.465, Average Hits@1 = 0.517
Epoch 100: Hits@1 Left = 0.569, Hits@1 Right = 0.464, Average Hits@1 = 0.516
Epoch 105: Hits@1 Left = 0.573, Hits@1 Right = 0.466, Average Hits@1 = 0.519
Epoch 110: Hits@1 Left = 0.570, Hits@1 Right = 0.468, Average Hits@1 = 0.519
Epoch 115: Hits@1 Left = 0.573, Hits@1 Right = 0.470, Average Hits@1 = 0.521
Epoch 120: Hits@1 Left = 0.569, Hits@1 Right = 0.470, Average Hits@1 = 0.519
Epoch 125: Hits@1 Left = 0.572, Hits@1 Right = 0.470, Average Hits@1 = 0.521
Epoch 130: Hits@1 Left = 0.570, Hits@1 Right = 0.467, Average Hits@1 = 0.518
Epoch 135: Hits@1 Left = 0.577, Hits@1 Right = 0.470, Average Hits@1 = 0.523
Epoch 140: Hits@1 Left = 0.577, Hits@1 Right = 0.473, Average Hits@1 = 0.525
Epoch 145: Hits@1 Left = 0.568, Hits@1 Right = 0.465, Average Hits@1 = 0.516
Epoch 150: Hits@1 Left = 0.573, Hits@1 Right = 0.474, Average Hits@1 = 0.524
Epoch 155: Hits@1 Left = 0.577, Hits@1 Right = 0.470, Average Hits@1 = 0.523
Epoch 160: Hits@1 Left = 0.562, Hits@1 Right = 0.466, Average Hits@1 = 0.514
Epoch 165: Hits@1 Left = 0.578, Hits@1 Right = 0.475, Average Hits@1 = 0.527
Epoch 170: Hits@1 Left = 0.577, Hits@1 Right = 0.477, Average Hits@1 = 0.527
Epoch 175: Hits@1 Left = 0.566, Hits@1 Right = 0.468, Average Hits@1 = 0.517
Epoch 180: Hits@1 Left = 0.569, Hits@1 Right = 0.472, Average Hits@1 = 0.520
Epoch 185: Hits@1 Left = 0.574, Hits@1 Right = 0.471, Average Hits@1 = 0.522
Epoch 190: Hits@1 Left = 0.575, Hits@1 Right = 0.474, Average Hits@1 = 0.524
Epoch 195: Hits@1 Left = 0.564, Hits@1 Right = 0.474, Average Hits@1 = 0.519
Epoch 200: Hits@1 Left = 0.576, Hits@1 Right = 0.474, Average Hits@1 = 0.525
Epoch 205: Hits@1 Left = 0.577, Hits@1 Right = 0.472, Average Hits@1 = 0.524
Epoch 210: Hits@1 Left = 0.571, Hits@1 Right = 0.474, Average Hits@1 = 0.523
Epoch 215: Hits@1 Left = 0.576, Hits@1 Right = 0.476, Average Hits@1 = 0.526
Epoch 220: Hits@1 Left = 0.575, Hits@1 Right = 0.482, Average Hits@1 = 0.528
Epoch 225: Hits@1 Left = 0.574, Hits@1 Right = 0.480, Average Hits@1 = 0.527
Epoch 230: Hits@1 Left = 0.577, Hits@1 Right = 0.476, Average Hits@1 = 0.527
Epoch 235: Hits@1 Left = 0.579, Hits@1 Right = 0.477, Average Hits@1 = 0.528
Epoch 240: Hits@1 Left = 0.575, Hits@1 Right = 0.481, Average Hits@1 = 0.528
Epoch 245: Hits@1 Left = 0.577, Hits@1 Right = 0.483, Average Hits@1 = 0.530
Epoch 250: Hits@1 Left = 0.582, Hits@1 Right = 0.481, Average Hits@1 = 0.532
Epoch 255: Hits@1 Left = 0.577, Hits@1 Right = 0.479, Average Hits@1 = 0.528
Epoch 260: Hits@1 Left = 0.577, Hits@1 Right = 0.481, Average Hits@1 = 0.529
Epoch 265: Hits@1 Left = 0.582, Hits@1 Right = 0.482, Average Hits@1 = 0.532
Epoch 270: Hits@1 Left = 0.573, Hits@1 Right = 0.475, Average Hits@1 = 0.524
Epoch 275: Hits@1 Left = 0.584, Hits@1 Right = 0.476, Average Hits@1 = 0.530
Epoch 280: Hits@1 Left = 0.583, Hits@1 Right = 0.482, Average Hits@1 = 0.532
Epoch 285: Hits@1 Left = 0.572, Hits@1 Right = 0.479, Average Hits@1 = 0.525
Epoch 290: Hits@1 Left = 0.586, Hits@1 Right = 0.485, Average Hits@1 = 0.535
Epoch 295: Hits@1 Left = 0.588, Hits@1 Right = 0.481, Average Hits@1 = 0.534
Epoch 300: Hits@1 Left = 0.574, Hits@1 Right = 0.479, Average Hits@1 = 0.526
Epoch 305: Hits@1 Left = 0.577, Hits@1 Right = 0.481, Average Hits@1 = 0.529
Epoch 310: Hits@1 Left = 0.584, Hits@1 Right = 0.483, Average Hits@1 = 0.533
Epoch 315: Hits@1 Left = 0.581, Hits@1 Right = 0.481, Average Hits@1 = 0.531
Epoch 320: Hits@1 Left = 0.575, Hits@1 Right = 0.481, Average Hits@1 = 0.528
Epoch 325: Hits@1 Left = 0.586, Hits@1 Right = 0.485, Average Hits@1 = 0.535
Epoch 330: Hits@1 Left = 0.578, Hits@1 Right = 0.479, Average Hits@1 = 0.528
Epoch 335: Hits@1 Left = 0.582, Hits@1 Right = 0.487, Average Hits@1 = 0.534
Epoch 340: Hits@1 Left = 0.580, Hits@1 Right = 0.485, Average Hits@1 = 0.533
