Epoch 5: MRR Left = 0.801, MRR Right = 0.796, Average MRR = 0.798
Epoch 10: MRR Left = 0.851, MRR Right = 0.851, Average MRR = 0.851
Epoch 15: MRR Left = 0.887, MRR Right = 0.891, Average MRR = 0.889
Epoch 20: MRR Left = 0.891, MRR Right = 0.898, Average MRR = 0.895
Epoch 25: MRR Left = 0.891, MRR Right = 0.896, Average MRR = 0.893
Epoch 30: MRR Left = 0.883, MRR Right = 0.881, Average MRR = 0.882
Epoch 35: MRR Left = 0.897, MRR Right = 0.893, Average MRR = 0.895
Epoch 40: MRR Left = 0.911, MRR Right = 0.909, Average MRR = 0.910
Epoch 45: MRR Left = 0.918, MRR Right = 0.918, Average MRR = 0.918
Epoch 50: MRR Left = 0.926, MRR Right = 0.925, Average MRR = 0.925
Epoch 55: MRR Left = 0.933, MRR Right = 0.931, Average MRR = 0.932
Epoch 60: MRR Left = 0.937, MRR Right = 0.934, Average MRR = 0.935
Epoch 65: MRR Left = 0.940, MRR Right = 0.938, Average MRR = 0.939
Epoch 70: MRR Left = 0.942, MRR Right = 0.941, Average MRR = 0.942
Epoch 75: MRR Left = 0.945, MRR Right = 0.944, Average MRR = 0.944
Epoch 80: MRR Left = 0.947, MRR Right = 0.946, Average MRR = 0.946
Epoch 85: MRR Left = 0.949, MRR Right = 0.948, Average MRR = 0.948
Epoch 90: MRR Left = 0.952, MRR Right = 0.949, Average MRR = 0.950
Epoch 95: MRR Left = 0.954, MRR Right = 0.951, Average MRR = 0.952
Epoch 100: MRR Left = 0.956, MRR Right = 0.953, Average MRR = 0.954
Epoch 105: MRR Left = 0.959, MRR Right = 0.955, Average MRR = 0.957
Epoch 110: MRR Left = 0.960, MRR Right = 0.957, Average MRR = 0.958
Epoch 115: MRR Left = 0.962, MRR Right = 0.959, Average MRR = 0.960
Epoch 120: MRR Left = 0.962, MRR Right = 0.959, Average MRR = 0.960
Epoch 125: MRR Left = 0.964, MRR Right = 0.960, Average MRR = 0.962
Epoch 130: MRR Left = 0.964, MRR Right = 0.961, Average MRR = 0.962
Epoch 135: MRR Left = 0.964, MRR Right = 0.960, Average MRR = 0.962
Epoch 140: MRR Left = 0.967, MRR Right = 0.962, Average MRR = 0.964
Epoch 145: MRR Left = 0.966, MRR Right = 0.962, Average MRR = 0.964
Epoch 150: MRR Left = 0.967, MRR Right = 0.962, Average MRR = 0.964
Epoch 155: MRR Left = 0.967, MRR Right = 0.963, Average MRR = 0.965
Epoch 160: MRR Left = 0.967, MRR Right = 0.964, Average MRR = 0.966
Epoch 165: MRR Left = 0.967, MRR Right = 0.963, Average MRR = 0.965
Epoch 170: MRR Left = 0.968, MRR Right = 0.964, Average MRR = 0.966
Epoch 175: MRR Left = 0.967, MRR Right = 0.963, Average MRR = 0.965
Epoch 180: MRR Left = 0.968, MRR Right = 0.965, Average MRR = 0.966
Epoch 185: MRR Left = 0.969, MRR Right = 0.964, Average MRR = 0.966
Epoch 190: MRR Left = 0.969, MRR Right = 0.965, Average MRR = 0.967
Epoch 195: MRR Left = 0.968, MRR Right = 0.966, Average MRR = 0.967
Epoch 200: MRR Left = 0.969, MRR Right = 0.966, Average MRR = 0.968
Epoch 205: MRR Left = 0.968, MRR Right = 0.967, Average MRR = 0.968
Epoch 210: MRR Left = 0.968, MRR Right = 0.967, Average MRR = 0.968
Epoch 215: MRR Left = 0.969, MRR Right = 0.967, Average MRR = 0.968
Epoch 220: MRR Left = 0.968, MRR Right = 0.966, Average MRR = 0.967
Epoch 225: MRR Left = 0.969, MRR Right = 0.966, Average MRR = 0.968
Epoch 230: MRR Left = 0.969, MRR Right = 0.967, Average MRR = 0.968
Epoch 235: MRR Left = 0.969, MRR Right = 0.967, Average MRR = 0.968
Epoch 240: MRR Left = 0.969, MRR Right = 0.968, Average MRR = 0.968
Epoch 245: MRR Left = 0.970, MRR Right = 0.968, Average MRR = 0.969
Epoch 250: MRR Left = 0.969, MRR Right = 0.968, Average MRR = 0.968
Epoch 255: MRR Left = 0.969, MRR Right = 0.967, Average MRR = 0.968
Epoch 260: MRR Left = 0.969, MRR Right = 0.968, Average MRR = 0.968
Epoch 265: MRR Left = 0.969, MRR Right = 0.969, Average MRR = 0.969
Epoch 270: MRR Left = 0.970, MRR Right = 0.969, Average MRR = 0.970
Epoch 275: MRR Left = 0.970, MRR Right = 0.968, Average MRR = 0.969
Epoch 280: MRR Left = 0.970, MRR Right = 0.969, Average MRR = 0.970
Epoch 285: MRR Left = 0.969, MRR Right = 0.968, Average MRR = 0.968
Epoch 290: MRR Left = 0.970, MRR Right = 0.969, Average MRR = 0.970
Epoch 295: MRR Left = 0.970, MRR Right = 0.969, Average MRR = 0.970
Epoch 300: MRR Left = 0.970, MRR Right = 0.970, Average MRR = 0.970
Epoch 305: MRR Left = 0.969, MRR Right = 0.969, Average MRR = 0.969
Epoch 310: MRR Left = 0.969, MRR Right = 0.969, Average MRR = 0.969
Epoch 315: MRR Left = 0.969, MRR Right = 0.969, Average MRR = 0.969
Epoch 320: MRR Left = 0.970, MRR Right = 0.969, Average MRR = 0.970
Epoch 325: MRR Left = 0.969, MRR Right = 0.970, Average MRR = 0.970
Epoch 330: MRR Left = 0.969, MRR Right = 0.970, Average MRR = 0.970
Epoch 335: MRR Left = 0.969, MRR Right = 0.970, Average MRR = 0.970
Epoch 340: MRR Left = 0.969, MRR Right = 0.970, Average MRR = 0.970
