Epoch 5: MRR Left = 0.921, MRR Right = 0.909, Average MRR = 0.915
Epoch 10: MRR Left = 0.927, MRR Right = 0.921, Average MRR = 0.924
Epoch 15: MRR Left = 0.933, MRR Right = 0.925, Average MRR = 0.929
Epoch 20: MRR Left = 0.935, MRR Right = 0.927, Average MRR = 0.931
Epoch 25: MRR Left = 0.933, MRR Right = 0.923, Average MRR = 0.928
Epoch 30: MRR Left = 0.936, MRR Right = 0.927, Average MRR = 0.931
Epoch 35: MRR Left = 0.938, MRR Right = 0.931, Average MRR = 0.934
Epoch 40: MRR Left = 0.937, MRR Right = 0.930, Average MRR = 0.933
Epoch 45: MRR Left = 0.938, MRR Right = 0.932, Average MRR = 0.935
Epoch 50: MRR Left = 0.940, MRR Right = 0.933, Average MRR = 0.936
Epoch 55: MRR Left = 0.941, MRR Right = 0.932, Average MRR = 0.936
Epoch 60: MRR Left = 0.941, MRR Right = 0.934, Average MRR = 0.938
Epoch 65: MRR Left = 0.942, MRR Right = 0.934, Average MRR = 0.938
Epoch 70: MRR Left = 0.943, MRR Right = 0.935, Average MRR = 0.939
Epoch 75: MRR Left = 0.942, MRR Right = 0.934, Average MRR = 0.938
Epoch 80: MRR Left = 0.942, MRR Right = 0.936, Average MRR = 0.939
Epoch 85: MRR Left = 0.944, MRR Right = 0.937, Average MRR = 0.941
Epoch 90: MRR Left = 0.945, MRR Right = 0.937, Average MRR = 0.941
Epoch 95: MRR Left = 0.944, MRR Right = 0.937, Average MRR = 0.941
Epoch 100: MRR Left = 0.945, MRR Right = 0.938, Average MRR = 0.942
Epoch 105: MRR Left = 0.945, MRR Right = 0.940, Average MRR = 0.942
Epoch 110: MRR Left = 0.946, MRR Right = 0.938, Average MRR = 0.942
Epoch 115: MRR Left = 0.946, MRR Right = 0.939, Average MRR = 0.942
Epoch 120: MRR Left = 0.946, MRR Right = 0.939, Average MRR = 0.942
Epoch 125: MRR Left = 0.946, MRR Right = 0.940, Average MRR = 0.943
Epoch 130: MRR Left = 0.948, MRR Right = 0.939, Average MRR = 0.944
Epoch 135: MRR Left = 0.947, MRR Right = 0.939, Average MRR = 0.943
Epoch 140: MRR Left = 0.946, MRR Right = 0.941, Average MRR = 0.944
Epoch 145: MRR Left = 0.946, MRR Right = 0.941, Average MRR = 0.944
Epoch 150: MRR Left = 0.947, MRR Right = 0.940, Average MRR = 0.944
Epoch 155: MRR Left = 0.947, MRR Right = 0.941, Average MRR = 0.944
Epoch 160: MRR Left = 0.948, MRR Right = 0.942, Average MRR = 0.945
Epoch 165: MRR Left = 0.947, MRR Right = 0.943, Average MRR = 0.945
Epoch 170: MRR Left = 0.947, MRR Right = 0.942, Average MRR = 0.944
Epoch 175: MRR Left = 0.949, MRR Right = 0.942, Average MRR = 0.946
Epoch 180: MRR Left = 0.948, MRR Right = 0.942, Average MRR = 0.945
Epoch 185: MRR Left = 0.948, MRR Right = 0.944, Average MRR = 0.946
Epoch 190: MRR Left = 0.948, MRR Right = 0.943, Average MRR = 0.946
Epoch 195: MRR Left = 0.950, MRR Right = 0.944, Average MRR = 0.947
Epoch 200: MRR Left = 0.947, MRR Right = 0.942, Average MRR = 0.944
Epoch 205: MRR Left = 0.950, MRR Right = 0.945, Average MRR = 0.948
Epoch 210: MRR Left = 0.948, MRR Right = 0.945, Average MRR = 0.946
Epoch 215: MRR Left = 0.951, MRR Right = 0.946, Average MRR = 0.948
Epoch 220: MRR Left = 0.948, MRR Right = 0.945, Average MRR = 0.946
Epoch 225: MRR Left = 0.951, MRR Right = 0.945, Average MRR = 0.948
Epoch 230: MRR Left = 0.951, MRR Right = 0.946, Average MRR = 0.948
Epoch 235: MRR Left = 0.951, MRR Right = 0.947, Average MRR = 0.949
Epoch 240: MRR Left = 0.951, MRR Right = 0.947, Average MRR = 0.949
Epoch 245: MRR Left = 0.951, MRR Right = 0.947, Average MRR = 0.949
Epoch 250: MRR Left = 0.951, MRR Right = 0.947, Average MRR = 0.949
Epoch 255: MRR Left = 0.952, MRR Right = 0.947, Average MRR = 0.950
Epoch 260: MRR Left = 0.952, MRR Right = 0.948, Average MRR = 0.950
Epoch 265: MRR Left = 0.952, MRR Right = 0.947, Average MRR = 0.950
Epoch 270: MRR Left = 0.952, MRR Right = 0.947, Average MRR = 0.950
Epoch 275: MRR Left = 0.953, MRR Right = 0.948, Average MRR = 0.950
Epoch 280: MRR Left = 0.952, MRR Right = 0.949, Average MRR = 0.950
Epoch 285: MRR Left = 0.953, MRR Right = 0.947, Average MRR = 0.950
Epoch 290: MRR Left = 0.953, MRR Right = 0.948, Average MRR = 0.950
Epoch 295: MRR Left = 0.952, MRR Right = 0.949, Average MRR = 0.950
Epoch 300: MRR Left = 0.951, MRR Right = 0.950, Average MRR = 0.950
Epoch 305: MRR Left = 0.953, MRR Right = 0.948, Average MRR = 0.950
Epoch 310: MRR Left = 0.954, MRR Right = 0.948, Average MRR = 0.951
Epoch 315: MRR Left = 0.954, MRR Right = 0.949, Average MRR = 0.952
Epoch 320: MRR Left = 0.952, MRR Right = 0.950, Average MRR = 0.951
Epoch 325: MRR Left = 0.953, MRR Right = 0.950, Average MRR = 0.952
Epoch 330: MRR Left = 0.953, MRR Right = 0.950, Average MRR = 0.952
Epoch 335: MRR Left = 0.954, MRR Right = 0.951, Average MRR = 0.952
Epoch 340: MRR Left = 0.953, MRR Right = 0.951, Average MRR = 0.952
