Epoch 5: MRR Left = 0.693, MRR Right = 0.676, Average MRR = 0.684
Epoch 10: MRR Left = 0.699, MRR Right = 0.685, Average MRR = 0.692
Epoch 15: MRR Left = 0.726, MRR Right = 0.712, Average MRR = 0.719
Epoch 20: MRR Left = 0.729, MRR Right = 0.717, Average MRR = 0.723
Epoch 25: MRR Left = 0.715, MRR Right = 0.704, Average MRR = 0.710
Epoch 30: MRR Left = 0.735, MRR Right = 0.724, Average MRR = 0.730
Epoch 35: MRR Left = 0.737, MRR Right = 0.725, Average MRR = 0.731
Epoch 40: MRR Left = 0.727, MRR Right = 0.718, Average MRR = 0.722
Epoch 45: MRR Left = 0.728, MRR Right = 0.719, Average MRR = 0.724
Epoch 50: MRR Left = 0.744, MRR Right = 0.733, Average MRR = 0.738
Epoch 55: MRR Left = 0.741, MRR Right = 0.734, Average MRR = 0.738
Epoch 60: MRR Left = 0.727, MRR Right = 0.715, Average MRR = 0.721
Epoch 65: MRR Left = 0.735, MRR Right = 0.731, Average MRR = 0.733
Epoch 70: MRR Left = 0.741, MRR Right = 0.736, Average MRR = 0.738
Epoch 75: MRR Left = 0.743, MRR Right = 0.736, Average MRR = 0.740
Epoch 80: MRR Left = 0.738, MRR Right = 0.730, Average MRR = 0.734
Epoch 85: MRR Left = 0.733, MRR Right = 0.728, Average MRR = 0.730
Epoch 90: MRR Left = 0.744, MRR Right = 0.738, Average MRR = 0.741
Epoch 95: MRR Left = 0.744, MRR Right = 0.735, Average MRR = 0.740
Epoch 100: MRR Left = 0.742, MRR Right = 0.738, Average MRR = 0.740
Epoch 105: MRR Left = 0.738, MRR Right = 0.731, Average MRR = 0.734
Epoch 110: MRR Left = 0.742, MRR Right = 0.737, Average MRR = 0.740
Epoch 115: MRR Left = 0.745, MRR Right = 0.734, Average MRR = 0.740
Epoch 120: MRR Left = 0.745, MRR Right = 0.738, Average MRR = 0.742
Epoch 125: MRR Left = 0.738, MRR Right = 0.731, Average MRR = 0.734
Epoch 130: MRR Left = 0.744, MRR Right = 0.736, Average MRR = 0.740
Epoch 135: MRR Left = 0.747, MRR Right = 0.736, Average MRR = 0.742
Epoch 140: MRR Left = 0.747, MRR Right = 0.739, Average MRR = 0.743
Epoch 145: MRR Left = 0.740, MRR Right = 0.732, Average MRR = 0.736
Epoch 150: MRR Left = 0.747, MRR Right = 0.737, Average MRR = 0.742
Epoch 155: MRR Left = 0.748, MRR Right = 0.737, Average MRR = 0.742
Epoch 160: MRR Left = 0.747, MRR Right = 0.739, Average MRR = 0.743
Epoch 165: MRR Left = 0.744, MRR Right = 0.736, Average MRR = 0.740
Epoch 170: MRR Left = 0.751, MRR Right = 0.737, Average MRR = 0.744
Epoch 175: MRR Left = 0.750, MRR Right = 0.740, Average MRR = 0.745
Epoch 180: MRR Left = 0.745, MRR Right = 0.737, Average MRR = 0.741
Epoch 185: MRR Left = 0.751, MRR Right = 0.739, Average MRR = 0.745
Epoch 190: MRR Left = 0.750, MRR Right = 0.739, Average MRR = 0.744
Epoch 195: MRR Left = 0.749, MRR Right = 0.739, Average MRR = 0.744
Epoch 200: MRR Left = 0.746, MRR Right = 0.740, Average MRR = 0.743
Epoch 205: MRR Left = 0.751, MRR Right = 0.740, Average MRR = 0.746
Epoch 210: MRR Left = 0.752, MRR Right = 0.740, Average MRR = 0.746
Epoch 215: MRR Left = 0.745, MRR Right = 0.738, Average MRR = 0.742
Epoch 220: MRR Left = 0.752, MRR Right = 0.744, Average MRR = 0.748
Epoch 225: MRR Left = 0.752, MRR Right = 0.741, Average MRR = 0.746
Epoch 230: MRR Left = 0.748, MRR Right = 0.738, Average MRR = 0.743
Epoch 235: MRR Left = 0.752, MRR Right = 0.743, Average MRR = 0.748
Epoch 240: MRR Left = 0.754, MRR Right = 0.742, Average MRR = 0.748
Epoch 245: MRR Left = 0.751, MRR Right = 0.740, Average MRR = 0.746
Epoch 250: MRR Left = 0.750, MRR Right = 0.742, Average MRR = 0.746
Epoch 255: MRR Left = 0.754, MRR Right = 0.742, Average MRR = 0.748
Epoch 260: MRR Left = 0.752, MRR Right = 0.742, Average MRR = 0.747
Epoch 265: MRR Left = 0.748, MRR Right = 0.742, Average MRR = 0.745
Epoch 270: MRR Left = 0.756, MRR Right = 0.743, Average MRR = 0.750
Epoch 275: MRR Left = 0.754, MRR Right = 0.744, Average MRR = 0.749
Epoch 280: MRR Left = 0.750, MRR Right = 0.740, Average MRR = 0.745
Epoch 285: MRR Left = 0.756, MRR Right = 0.745, Average MRR = 0.750
Epoch 290: MRR Left = 0.755, MRR Right = 0.743, Average MRR = 0.749
Epoch 295: MRR Left = 0.751, MRR Right = 0.744, Average MRR = 0.748
Epoch 300: MRR Left = 0.754, MRR Right = 0.743, Average MRR = 0.748
Epoch 305: MRR Left = 0.755, MRR Right = 0.745, Average MRR = 0.750
Epoch 310: MRR Left = 0.756, MRR Right = 0.746, Average MRR = 0.751
Epoch 315: MRR Left = 0.752, MRR Right = 0.741, Average MRR = 0.746
Epoch 320: MRR Left = 0.758, MRR Right = 0.746, Average MRR = 0.752
Epoch 325: MRR Left = 0.756, MRR Right = 0.747, Average MRR = 0.752
Epoch 330: MRR Left = 0.753, MRR Right = 0.742, Average MRR = 0.748
Epoch 335: MRR Left = 0.758, MRR Right = 0.747, Average MRR = 0.752
Epoch 340: MRR Left = 0.757, MRR Right = 0.745, Average MRR = 0.751
