Epoch 5: Hits@1 Left = 0.894, Hits@1 Right = 0.883, Average Hits@1 = 0.888
Epoch 10: Hits@1 Left = 0.903, Hits@1 Right = 0.892, Average Hits@1 = 0.898
Epoch 15: Hits@1 Left = 0.906, Hits@1 Right = 0.901, Average Hits@1 = 0.904
Epoch 20: Hits@1 Left = 0.908, Hits@1 Right = 0.904, Average Hits@1 = 0.906
Epoch 25: Hits@1 Left = 0.911, Hits@1 Right = 0.905, Average Hits@1 = 0.908
Epoch 30: Hits@1 Left = 0.912, Hits@1 Right = 0.908, Average Hits@1 = 0.910
Epoch 35: Hits@1 Left = 0.913, Hits@1 Right = 0.910, Average Hits@1 = 0.912
Epoch 40: Hits@1 Left = 0.915, Hits@1 Right = 0.911, Average Hits@1 = 0.913
Epoch 45: Hits@1 Left = 0.916, Hits@1 Right = 0.912, Average Hits@1 = 0.914
Epoch 50: Hits@1 Left = 0.917, Hits@1 Right = 0.913, Average Hits@1 = 0.915
Epoch 55: Hits@1 Left = 0.917, Hits@1 Right = 0.914, Average Hits@1 = 0.916
Epoch 60: Hits@1 Left = 0.918, Hits@1 Right = 0.915, Average Hits@1 = 0.916
Epoch 65: Hits@1 Left = 0.919, Hits@1 Right = 0.915, Average Hits@1 = 0.917
Epoch 70: Hits@1 Left = 0.921, Hits@1 Right = 0.917, Average Hits@1 = 0.919
Epoch 75: Hits@1 Left = 0.920, Hits@1 Right = 0.918, Average Hits@1 = 0.919
Epoch 80: Hits@1 Left = 0.920, Hits@1 Right = 0.918, Average Hits@1 = 0.919
Epoch 85: Hits@1 Left = 0.922, Hits@1 Right = 0.918, Average Hits@1 = 0.920
Epoch 90: Hits@1 Left = 0.922, Hits@1 Right = 0.919, Average Hits@1 = 0.920
Epoch 95: Hits@1 Left = 0.922, Hits@1 Right = 0.919, Average Hits@1 = 0.920
Epoch 100: Hits@1 Left = 0.922, Hits@1 Right = 0.920, Average Hits@1 = 0.921
Epoch 105: Hits@1 Left = 0.922, Hits@1 Right = 0.920, Average Hits@1 = 0.921
Epoch 110: Hits@1 Left = 0.921, Hits@1 Right = 0.919, Average Hits@1 = 0.920
Epoch 115: Hits@1 Left = 0.921, Hits@1 Right = 0.919, Average Hits@1 = 0.920
Epoch 120: Hits@1 Left = 0.921, Hits@1 Right = 0.919, Average Hits@1 = 0.920
Epoch 125: Hits@1 Left = 0.921, Hits@1 Right = 0.920, Average Hits@1 = 0.920
Epoch 130: Hits@1 Left = 0.922, Hits@1 Right = 0.921, Average Hits@1 = 0.922
Epoch 135: Hits@1 Left = 0.922, Hits@1 Right = 0.922, Average Hits@1 = 0.922
Epoch 140: Hits@1 Left = 0.923, Hits@1 Right = 0.922, Average Hits@1 = 0.922
Epoch 145: Hits@1 Left = 0.924, Hits@1 Right = 0.923, Average Hits@1 = 0.924
Epoch 150: Hits@1 Left = 0.924, Hits@1 Right = 0.924, Average Hits@1 = 0.924
Epoch 155: Hits@1 Left = 0.923, Hits@1 Right = 0.923, Average Hits@1 = 0.923
Epoch 160: Hits@1 Left = 0.924, Hits@1 Right = 0.924, Average Hits@1 = 0.924
Epoch 165: Hits@1 Left = 0.925, Hits@1 Right = 0.923, Average Hits@1 = 0.924
Epoch 170: Hits@1 Left = 0.926, Hits@1 Right = 0.923, Average Hits@1 = 0.925
Epoch 175: Hits@1 Left = 0.925, Hits@1 Right = 0.924, Average Hits@1 = 0.924
Epoch 180: Hits@1 Left = 0.925, Hits@1 Right = 0.923, Average Hits@1 = 0.924
Epoch 185: Hits@1 Left = 0.926, Hits@1 Right = 0.922, Average Hits@1 = 0.924
Epoch 190: Hits@1 Left = 0.928, Hits@1 Right = 0.922, Average Hits@1 = 0.925
Epoch 195: Hits@1 Left = 0.926, Hits@1 Right = 0.924, Average Hits@1 = 0.925
Epoch 200: Hits@1 Left = 0.926, Hits@1 Right = 0.925, Average Hits@1 = 0.925
Epoch 205: Hits@1 Left = 0.927, Hits@1 Right = 0.924, Average Hits@1 = 0.925
Epoch 210: Hits@1 Left = 0.927, Hits@1 Right = 0.924, Average Hits@1 = 0.926
Epoch 215: Hits@1 Left = 0.926, Hits@1 Right = 0.924, Average Hits@1 = 0.925
Epoch 220: Hits@1 Left = 0.925, Hits@1 Right = 0.924, Average Hits@1 = 0.924
Epoch 225: Hits@1 Left = 0.929, Hits@1 Right = 0.923, Average Hits@1 = 0.926
Epoch 230: Hits@1 Left = 0.929, Hits@1 Right = 0.922, Average Hits@1 = 0.926
Epoch 235: Hits@1 Left = 0.926, Hits@1 Right = 0.923, Average Hits@1 = 0.924
Epoch 240: Hits@1 Left = 0.926, Hits@1 Right = 0.924, Average Hits@1 = 0.925
Epoch 245: Hits@1 Left = 0.928, Hits@1 Right = 0.924, Average Hits@1 = 0.926
Epoch 250: Hits@1 Left = 0.927, Hits@1 Right = 0.925, Average Hits@1 = 0.926
Epoch 255: Hits@1 Left = 0.925, Hits@1 Right = 0.925, Average Hits@1 = 0.925
Epoch 260: Hits@1 Left = 0.924, Hits@1 Right = 0.924, Average Hits@1 = 0.924
Epoch 265: Hits@1 Left = 0.924, Hits@1 Right = 0.925, Average Hits@1 = 0.925
Epoch 270: Hits@1 Left = 0.923, Hits@1 Right = 0.926, Average Hits@1 = 0.924
Epoch 275: Hits@1 Left = 0.924, Hits@1 Right = 0.926, Average Hits@1 = 0.925
Epoch 280: Hits@1 Left = 0.926, Hits@1 Right = 0.926, Average Hits@1 = 0.926
Epoch 285: Hits@1 Left = 0.923, Hits@1 Right = 0.926, Average Hits@1 = 0.924
Epoch 290: Hits@1 Left = 0.920, Hits@1 Right = 0.926, Average Hits@1 = 0.923
Epoch 295: Hits@1 Left = 0.922, Hits@1 Right = 0.926, Average Hits@1 = 0.924
Epoch 300: Hits@1 Left = 0.922, Hits@1 Right = 0.926, Average Hits@1 = 0.924
Epoch 305: Hits@1 Left = 0.922, Hits@1 Right = 0.926, Average Hits@1 = 0.924
Epoch 310: Hits@1 Left = 0.922, Hits@1 Right = 0.926, Average Hits@1 = 0.924
