Epoch 5: Hits@1 Left = 0.900, Hits@1 Right = 0.886, Average Hits@1 = 0.893
Epoch 10: Hits@1 Left = 0.902, Hits@1 Right = 0.894, Average Hits@1 = 0.898
Epoch 15: Hits@1 Left = 0.905, Hits@1 Right = 0.896, Average Hits@1 = 0.900
Epoch 20: Hits@1 Left = 0.906, Hits@1 Right = 0.898, Average Hits@1 = 0.902
Epoch 25: Hits@1 Left = 0.905, Hits@1 Right = 0.899, Average Hits@1 = 0.902
Epoch 30: Hits@1 Left = 0.906, Hits@1 Right = 0.899, Average Hits@1 = 0.902
Epoch 35: Hits@1 Left = 0.908, Hits@1 Right = 0.899, Average Hits@1 = 0.903
Epoch 40: Hits@1 Left = 0.908, Hits@1 Right = 0.899, Average Hits@1 = 0.903
Epoch 45: Hits@1 Left = 0.908, Hits@1 Right = 0.900, Average Hits@1 = 0.904
Epoch 50: Hits@1 Left = 0.908, Hits@1 Right = 0.901, Average Hits@1 = 0.905
Epoch 55: Hits@1 Left = 0.908, Hits@1 Right = 0.901, Average Hits@1 = 0.905
Epoch 60: Hits@1 Left = 0.909, Hits@1 Right = 0.901, Average Hits@1 = 0.905
Epoch 65: Hits@1 Left = 0.909, Hits@1 Right = 0.901, Average Hits@1 = 0.905
Epoch 70: Hits@1 Left = 0.909, Hits@1 Right = 0.901, Average Hits@1 = 0.905
Epoch 75: Hits@1 Left = 0.909, Hits@1 Right = 0.901, Average Hits@1 = 0.905
Epoch 80: Hits@1 Left = 0.909, Hits@1 Right = 0.902, Average Hits@1 = 0.906
Epoch 85: Hits@1 Left = 0.910, Hits@1 Right = 0.902, Average Hits@1 = 0.906
Epoch 90: Hits@1 Left = 0.910, Hits@1 Right = 0.902, Average Hits@1 = 0.906
Epoch 95: Hits@1 Left = 0.910, Hits@1 Right = 0.902, Average Hits@1 = 0.906
Epoch 100: Hits@1 Left = 0.910, Hits@1 Right = 0.902, Average Hits@1 = 0.906
Epoch 105: Hits@1 Left = 0.910, Hits@1 Right = 0.902, Average Hits@1 = 0.906
Epoch 110: Hits@1 Left = 0.910, Hits@1 Right = 0.903, Average Hits@1 = 0.906
Epoch 115: Hits@1 Left = 0.910, Hits@1 Right = 0.903, Average Hits@1 = 0.906
Epoch 120: Hits@1 Left = 0.910, Hits@1 Right = 0.903, Average Hits@1 = 0.907
Epoch 125: Hits@1 Left = 0.911, Hits@1 Right = 0.904, Average Hits@1 = 0.907
Epoch 130: Hits@1 Left = 0.911, Hits@1 Right = 0.903, Average Hits@1 = 0.907
Epoch 135: Hits@1 Left = 0.912, Hits@1 Right = 0.904, Average Hits@1 = 0.908
Epoch 140: Hits@1 Left = 0.912, Hits@1 Right = 0.904, Average Hits@1 = 0.908
Epoch 145: Hits@1 Left = 0.912, Hits@1 Right = 0.903, Average Hits@1 = 0.907
Epoch 150: Hits@1 Left = 0.912, Hits@1 Right = 0.904, Average Hits@1 = 0.908
Epoch 155: Hits@1 Left = 0.912, Hits@1 Right = 0.903, Average Hits@1 = 0.908
