Epoch 5: Hits@1 Left = 0.636, Hits@1 Right = 0.612, Average Hits@1 = 0.624
Epoch 10: Hits@1 Left = 0.643, Hits@1 Right = 0.624, Average Hits@1 = 0.634
Epoch 15: Hits@1 Left = 0.670, Hits@1 Right = 0.651, Average Hits@1 = 0.660
Epoch 20: Hits@1 Left = 0.674, Hits@1 Right = 0.656, Average Hits@1 = 0.665
Epoch 25: Hits@1 Left = 0.659, Hits@1 Right = 0.644, Average Hits@1 = 0.652
Epoch 30: Hits@1 Left = 0.679, Hits@1 Right = 0.662, Average Hits@1 = 0.671
Epoch 35: Hits@1 Left = 0.681, Hits@1 Right = 0.663, Average Hits@1 = 0.672
Epoch 40: Hits@1 Left = 0.674, Hits@1 Right = 0.657, Average Hits@1 = 0.666
Epoch 45: Hits@1 Left = 0.674, Hits@1 Right = 0.659, Average Hits@1 = 0.666
Epoch 50: Hits@1 Left = 0.688, Hits@1 Right = 0.676, Average Hits@1 = 0.682
Epoch 55: Hits@1 Left = 0.685, Hits@1 Right = 0.675, Average Hits@1 = 0.680
Epoch 60: Hits@1 Left = 0.673, Hits@1 Right = 0.657, Average Hits@1 = 0.665
Epoch 65: Hits@1 Left = 0.681, Hits@1 Right = 0.677, Average Hits@1 = 0.679
Epoch 70: Hits@1 Left = 0.685, Hits@1 Right = 0.680, Average Hits@1 = 0.683
Epoch 75: Hits@1 Left = 0.688, Hits@1 Right = 0.676, Average Hits@1 = 0.682
Epoch 80: Hits@1 Left = 0.683, Hits@1 Right = 0.672, Average Hits@1 = 0.678
Epoch 85: Hits@1 Left = 0.678, Hits@1 Right = 0.672, Average Hits@1 = 0.675
Epoch 90: Hits@1 Left = 0.690, Hits@1 Right = 0.682, Average Hits@1 = 0.686
Epoch 95: Hits@1 Left = 0.691, Hits@1 Right = 0.677, Average Hits@1 = 0.684
Epoch 100: Hits@1 Left = 0.687, Hits@1 Right = 0.680, Average Hits@1 = 0.684
Epoch 105: Hits@1 Left = 0.684, Hits@1 Right = 0.675, Average Hits@1 = 0.680
Epoch 110: Hits@1 Left = 0.689, Hits@1 Right = 0.682, Average Hits@1 = 0.685
Epoch 115: Hits@1 Left = 0.691, Hits@1 Right = 0.677, Average Hits@1 = 0.684
Epoch 120: Hits@1 Left = 0.690, Hits@1 Right = 0.683, Average Hits@1 = 0.686
Epoch 125: Hits@1 Left = 0.684, Hits@1 Right = 0.675, Average Hits@1 = 0.679
Epoch 130: Hits@1 Left = 0.691, Hits@1 Right = 0.680, Average Hits@1 = 0.686
Epoch 135: Hits@1 Left = 0.693, Hits@1 Right = 0.680, Average Hits@1 = 0.686
Epoch 140: Hits@1 Left = 0.695, Hits@1 Right = 0.684, Average Hits@1 = 0.690
Epoch 145: Hits@1 Left = 0.685, Hits@1 Right = 0.677, Average Hits@1 = 0.681
Epoch 150: Hits@1 Left = 0.696, Hits@1 Right = 0.681, Average Hits@1 = 0.689
Epoch 155: Hits@1 Left = 0.696, Hits@1 Right = 0.682, Average Hits@1 = 0.689
Epoch 160: Hits@1 Left = 0.694, Hits@1 Right = 0.685, Average Hits@1 = 0.689
Epoch 165: Hits@1 Left = 0.690, Hits@1 Right = 0.683, Average Hits@1 = 0.687
Epoch 170: Hits@1 Left = 0.700, Hits@1 Right = 0.681, Average Hits@1 = 0.691
Epoch 175: Hits@1 Left = 0.697, Hits@1 Right = 0.686, Average Hits@1 = 0.692
Epoch 180: Hits@1 Left = 0.692, Hits@1 Right = 0.684, Average Hits@1 = 0.688
Epoch 185: Hits@1 Left = 0.700, Hits@1 Right = 0.685, Average Hits@1 = 0.693
Epoch 190: Hits@1 Left = 0.697, Hits@1 Right = 0.687, Average Hits@1 = 0.692
Epoch 195: Hits@1 Left = 0.696, Hits@1 Right = 0.685, Average Hits@1 = 0.691
Epoch 200: Hits@1 Left = 0.691, Hits@1 Right = 0.688, Average Hits@1 = 0.690
Epoch 205: Hits@1 Left = 0.698, Hits@1 Right = 0.687, Average Hits@1 = 0.692
Epoch 210: Hits@1 Left = 0.697, Hits@1 Right = 0.686, Average Hits@1 = 0.692
Epoch 215: Hits@1 Left = 0.691, Hits@1 Right = 0.684, Average Hits@1 = 0.688
Epoch 220: Hits@1 Left = 0.698, Hits@1 Right = 0.692, Average Hits@1 = 0.695
Epoch 225: Hits@1 Left = 0.697, Hits@1 Right = 0.688, Average Hits@1 = 0.692
Epoch 230: Hits@1 Left = 0.694, Hits@1 Right = 0.686, Average Hits@1 = 0.690
Epoch 235: Hits@1 Left = 0.698, Hits@1 Right = 0.689, Average Hits@1 = 0.694
Epoch 240: Hits@1 Left = 0.700, Hits@1 Right = 0.690, Average Hits@1 = 0.695
Epoch 245: Hits@1 Left = 0.698, Hits@1 Right = 0.687, Average Hits@1 = 0.693
Epoch 250: Hits@1 Left = 0.695, Hits@1 Right = 0.689, Average Hits@1 = 0.692
Epoch 255: Hits@1 Left = 0.700, Hits@1 Right = 0.688, Average Hits@1 = 0.694
Epoch 260: Hits@1 Left = 0.697, Hits@1 Right = 0.688, Average Hits@1 = 0.693
Epoch 265: Hits@1 Left = 0.694, Hits@1 Right = 0.690, Average Hits@1 = 0.692
Epoch 270: Hits@1 Left = 0.703, Hits@1 Right = 0.690, Average Hits@1 = 0.696
Epoch 275: Hits@1 Left = 0.697, Hits@1 Right = 0.692, Average Hits@1 = 0.695
Epoch 280: Hits@1 Left = 0.697, Hits@1 Right = 0.688, Average Hits@1 = 0.692
Epoch 285: Hits@1 Left = 0.703, Hits@1 Right = 0.691, Average Hits@1 = 0.697
Epoch 290: Hits@1 Left = 0.702, Hits@1 Right = 0.690, Average Hits@1 = 0.696
Epoch 295: Hits@1 Left = 0.696, Hits@1 Right = 0.692, Average Hits@1 = 0.694
Epoch 300: Hits@1 Left = 0.699, Hits@1 Right = 0.689, Average Hits@1 = 0.694
Epoch 305: Hits@1 Left = 0.700, Hits@1 Right = 0.692, Average Hits@1 = 0.696
Epoch 310: Hits@1 Left = 0.701, Hits@1 Right = 0.692, Average Hits@1 = 0.696
Epoch 315: Hits@1 Left = 0.697, Hits@1 Right = 0.689, Average Hits@1 = 0.693
Epoch 320: Hits@1 Left = 0.705, Hits@1 Right = 0.693, Average Hits@1 = 0.699
Epoch 325: Hits@1 Left = 0.702, Hits@1 Right = 0.696, Average Hits@1 = 0.699
Epoch 330: Hits@1 Left = 0.699, Hits@1 Right = 0.689, Average Hits@1 = 0.694
Epoch 335: Hits@1 Left = 0.705, Hits@1 Right = 0.693, Average Hits@1 = 0.699
Epoch 340: Hits@1 Left = 0.705, Hits@1 Right = 0.694, Average Hits@1 = 0.699
