Epoch 5: Hits@10 Left = 0.587, Hits@10 Right = 0.584, Average Hits@10 = 0.586
Epoch 10: Hits@10 Left = 0.640, Hits@10 Right = 0.629, Average Hits@10 = 0.634
Epoch 15: Hits@10 Left = 0.788, Hits@10 Right = 0.790, Average Hits@10 = 0.789
Epoch 20: Hits@10 Left = 0.826, Hits@10 Right = 0.826, Average Hits@10 = 0.826
Epoch 25: Hits@10 Left = 0.857, Hits@10 Right = 0.863, Average Hits@10 = 0.860
Epoch 30: Hits@10 Left = 0.888, Hits@10 Right = 0.894, Average Hits@10 = 0.891
Epoch 35: Hits@10 Left = 0.906, Hits@10 Right = 0.914, Average Hits@10 = 0.910
Epoch 40: Hits@10 Left = 0.912, Hits@10 Right = 0.926, Average Hits@10 = 0.919
Epoch 45: Hits@10 Left = 0.920, Hits@10 Right = 0.931, Average Hits@10 = 0.925
Epoch 50: Hits@10 Left = 0.927, Hits@10 Right = 0.933, Average Hits@10 = 0.930
Epoch 55: Hits@10 Left = 0.935, Hits@10 Right = 0.944, Average Hits@10 = 0.940
Epoch 60: Hits@10 Left = 0.940, Hits@10 Right = 0.952, Average Hits@10 = 0.946
Epoch 65: Hits@10 Left = 0.947, Hits@10 Right = 0.964, Average Hits@10 = 0.956
Epoch 70: Hits@10 Left = 0.952, Hits@10 Right = 0.968, Average Hits@10 = 0.960
Epoch 75: Hits@10 Left = 0.958, Hits@10 Right = 0.968, Average Hits@10 = 0.963
Epoch 80: Hits@10 Left = 0.962, Hits@10 Right = 0.966, Average Hits@10 = 0.964
Epoch 85: Hits@10 Left = 0.964, Hits@10 Right = 0.967, Average Hits@10 = 0.965
Epoch 90: Hits@10 Left = 0.964, Hits@10 Right = 0.968, Average Hits@10 = 0.966
Epoch 95: Hits@10 Left = 0.967, Hits@10 Right = 0.972, Average Hits@10 = 0.969
Epoch 100: Hits@10 Left = 0.970, Hits@10 Right = 0.972, Average Hits@10 = 0.971
Epoch 105: Hits@10 Left = 0.974, Hits@10 Right = 0.972, Average Hits@10 = 0.973
Epoch 110: Hits@10 Left = 0.973, Hits@10 Right = 0.972, Average Hits@10 = 0.972
Epoch 115: Hits@10 Left = 0.973, Hits@10 Right = 0.974, Average Hits@10 = 0.974
Epoch 120: Hits@10 Left = 0.972, Hits@10 Right = 0.975, Average Hits@10 = 0.974
Epoch 125: Hits@10 Left = 0.973, Hits@10 Right = 0.975, Average Hits@10 = 0.974
Epoch 130: Hits@10 Left = 0.973, Hits@10 Right = 0.975, Average Hits@10 = 0.974
Epoch 135: Hits@10 Left = 0.974, Hits@10 Right = 0.976, Average Hits@10 = 0.975
Epoch 140: Hits@10 Left = 0.976, Hits@10 Right = 0.978, Average Hits@10 = 0.977
Epoch 145: Hits@10 Left = 0.976, Hits@10 Right = 0.978, Average Hits@10 = 0.977
Epoch 150: Hits@10 Left = 0.976, Hits@10 Right = 0.977, Average Hits@10 = 0.977
Epoch 155: Hits@10 Left = 0.977, Hits@10 Right = 0.978, Average Hits@10 = 0.978
Epoch 160: Hits@10 Left = 0.977, Hits@10 Right = 0.979, Average Hits@10 = 0.978
Epoch 165: Hits@10 Left = 0.978, Hits@10 Right = 0.978, Average Hits@10 = 0.978
Epoch 170: Hits@10 Left = 0.979, Hits@10 Right = 0.979, Average Hits@10 = 0.979
