Epoch 5: MRR Left = 0.798, MRR Right = 0.784, Average MRR = 0.791
Epoch 10: MRR Left = 0.805, MRR Right = 0.794, Average MRR = 0.800
Epoch 15: MRR Left = 0.810, MRR Right = 0.798, Average MRR = 0.804
Epoch 20: MRR Left = 0.812, MRR Right = 0.798, Average MRR = 0.805
Epoch 25: MRR Left = 0.815, MRR Right = 0.803, Average MRR = 0.809
Epoch 30: MRR Left = 0.819, MRR Right = 0.805, Average MRR = 0.812
Epoch 35: MRR Left = 0.822, MRR Right = 0.807, Average MRR = 0.815
Epoch 40: MRR Left = 0.826, MRR Right = 0.810, Average MRR = 0.818
Epoch 45: MRR Left = 0.828, MRR Right = 0.811, Average MRR = 0.820
Epoch 50: MRR Left = 0.830, MRR Right = 0.813, Average MRR = 0.821
Epoch 55: MRR Left = 0.832, MRR Right = 0.816, Average MRR = 0.824
Epoch 60: MRR Left = 0.832, MRR Right = 0.818, Average MRR = 0.825
Epoch 65: MRR Left = 0.834, MRR Right = 0.820, Average MRR = 0.827
Epoch 70: MRR Left = 0.835, MRR Right = 0.820, Average MRR = 0.827
Epoch 75: MRR Left = 0.836, MRR Right = 0.820, Average MRR = 0.828
Epoch 80: MRR Left = 0.838, MRR Right = 0.821, Average MRR = 0.829
Epoch 85: MRR Left = 0.839, MRR Right = 0.823, Average MRR = 0.831
Epoch 90: MRR Left = 0.840, MRR Right = 0.824, Average MRR = 0.832
Epoch 95: MRR Left = 0.840, MRR Right = 0.824, Average MRR = 0.832
Epoch 100: MRR Left = 0.841, MRR Right = 0.824, Average MRR = 0.833
Epoch 105: MRR Left = 0.842, MRR Right = 0.825, Average MRR = 0.833
Epoch 110: MRR Left = 0.842, MRR Right = 0.826, Average MRR = 0.834
Epoch 115: MRR Left = 0.842, MRR Right = 0.826, Average MRR = 0.834
Epoch 120: MRR Left = 0.842, MRR Right = 0.825, Average MRR = 0.833
Epoch 125: MRR Left = 0.844, MRR Right = 0.827, Average MRR = 0.835
Epoch 130: MRR Left = 0.843, MRR Right = 0.826, Average MRR = 0.835
Epoch 135: MRR Left = 0.843, MRR Right = 0.827, Average MRR = 0.835
Epoch 140: MRR Left = 0.841, MRR Right = 0.826, Average MRR = 0.833
Epoch 145: MRR Left = 0.844, MRR Right = 0.828, Average MRR = 0.836
Epoch 150: MRR Left = 0.844, MRR Right = 0.827, Average MRR = 0.835
Epoch 155: MRR Left = 0.842, MRR Right = 0.827, Average MRR = 0.835
Epoch 160: MRR Left = 0.843, MRR Right = 0.827, Average MRR = 0.835
Epoch 165: MRR Left = 0.845, MRR Right = 0.829, Average MRR = 0.837
Epoch 170: MRR Left = 0.845, MRR Right = 0.828, Average MRR = 0.837
Epoch 175: MRR Left = 0.846, MRR Right = 0.829, Average MRR = 0.837
Epoch 180: MRR Left = 0.843, MRR Right = 0.828, Average MRR = 0.835
Epoch 185: MRR Left = 0.845, MRR Right = 0.829, Average MRR = 0.837
Epoch 190: MRR Left = 0.845, MRR Right = 0.829, Average MRR = 0.837
Epoch 195: MRR Left = 0.845, MRR Right = 0.831, Average MRR = 0.838
Epoch 200: MRR Left = 0.844, MRR Right = 0.829, Average MRR = 0.837
Epoch 205: MRR Left = 0.846, MRR Right = 0.830, Average MRR = 0.838
Epoch 210: MRR Left = 0.844, MRR Right = 0.830, Average MRR = 0.837
Epoch 215: MRR Left = 0.843, MRR Right = 0.832, Average MRR = 0.837
Epoch 220: MRR Left = 0.842, MRR Right = 0.831, Average MRR = 0.837
Epoch 225: MRR Left = 0.846, MRR Right = 0.832, Average MRR = 0.839
Epoch 230: MRR Left = 0.844, MRR Right = 0.830, Average MRR = 0.837
Epoch 235: MRR Left = 0.843, MRR Right = 0.832, Average MRR = 0.837
Epoch 240: MRR Left = 0.840, MRR Right = 0.831, Average MRR = 0.835
Epoch 245: MRR Left = 0.846, MRR Right = 0.832, Average MRR = 0.839
Epoch 250: MRR Left = 0.844, MRR Right = 0.830, Average MRR = 0.837
Epoch 255: MRR Left = 0.842, MRR Right = 0.833, Average MRR = 0.837
Epoch 260: MRR Left = 0.842, MRR Right = 0.830, Average MRR = 0.836
Epoch 265: MRR Left = 0.846, MRR Right = 0.831, Average MRR = 0.839
Epoch 270: MRR Left = 0.844, MRR Right = 0.830, Average MRR = 0.837
Epoch 275: MRR Left = 0.844, MRR Right = 0.834, Average MRR = 0.839
Epoch 280: MRR Left = 0.843, MRR Right = 0.831, Average MRR = 0.837
Epoch 285: MRR Left = 0.846, MRR Right = 0.831, Average MRR = 0.839
Epoch 290: MRR Left = 0.846, MRR Right = 0.831, Average MRR = 0.839
Epoch 295: MRR Left = 0.846, MRR Right = 0.834, Average MRR = 0.840
Epoch 300: MRR Left = 0.844, MRR Right = 0.833, Average MRR = 0.839
Epoch 305: MRR Left = 0.846, MRR Right = 0.832, Average MRR = 0.839
Epoch 310: MRR Left = 0.847, MRR Right = 0.833, Average MRR = 0.840
Epoch 315: MRR Left = 0.844, MRR Right = 0.836, Average MRR = 0.840
Epoch 320: MRR Left = 0.843, MRR Right = 0.834, Average MRR = 0.839
Epoch 325: MRR Left = 0.845, MRR Right = 0.834, Average MRR = 0.839
Epoch 330: MRR Left = 0.846, MRR Right = 0.834, Average MRR = 0.840
Epoch 335: MRR Left = 0.845, MRR Right = 0.837, Average MRR = 0.841
Epoch 340: MRR Left = 0.842, MRR Right = 0.834, Average MRR = 0.838
