Epoch 5: MRR Left = 0.778, MRR Right = 0.768, Average MRR = 0.773
Epoch 10: MRR Left = 0.780, MRR Right = 0.768, Average MRR = 0.774
Epoch 15: MRR Left = 0.784, MRR Right = 0.769, Average MRR = 0.776
Epoch 20: MRR Left = 0.785, MRR Right = 0.771, Average MRR = 0.778
Epoch 25: MRR Left = 0.786, MRR Right = 0.772, Average MRR = 0.779
Epoch 30: MRR Left = 0.788, MRR Right = 0.774, Average MRR = 0.781
Epoch 35: MRR Left = 0.789, MRR Right = 0.775, Average MRR = 0.782
Epoch 40: MRR Left = 0.791, MRR Right = 0.775, Average MRR = 0.783
Epoch 45: MRR Left = 0.792, MRR Right = 0.776, Average MRR = 0.784
Epoch 50: MRR Left = 0.792, MRR Right = 0.776, Average MRR = 0.784
Epoch 55: MRR Left = 0.792, MRR Right = 0.777, Average MRR = 0.784
Epoch 60: MRR Left = 0.792, MRR Right = 0.777, Average MRR = 0.784
Epoch 65: MRR Left = 0.793, MRR Right = 0.778, Average MRR = 0.786
Epoch 70: MRR Left = 0.794, MRR Right = 0.778, Average MRR = 0.786
Epoch 75: MRR Left = 0.794, MRR Right = 0.779, Average MRR = 0.786
Epoch 80: MRR Left = 0.795, MRR Right = 0.778, Average MRR = 0.786
Epoch 85: MRR Left = 0.794, MRR Right = 0.779, Average MRR = 0.786
Epoch 90: MRR Left = 0.795, MRR Right = 0.780, Average MRR = 0.788
Epoch 95: MRR Left = 0.795, MRR Right = 0.779, Average MRR = 0.787
Epoch 100: MRR Left = 0.795, MRR Right = 0.780, Average MRR = 0.788
Epoch 105: MRR Left = 0.795, MRR Right = 0.780, Average MRR = 0.788
Epoch 110: MRR Left = 0.795, MRR Right = 0.780, Average MRR = 0.788
Epoch 115: MRR Left = 0.795, MRR Right = 0.780, Average MRR = 0.788
Epoch 120: MRR Left = 0.796, MRR Right = 0.780, Average MRR = 0.788
Epoch 125: MRR Left = 0.796, MRR Right = 0.780, Average MRR = 0.788
Epoch 130: MRR Left = 0.797, MRR Right = 0.780, Average MRR = 0.788
Epoch 135: MRR Left = 0.797, MRR Right = 0.780, Average MRR = 0.788
Epoch 140: MRR Left = 0.798, MRR Right = 0.781, Average MRR = 0.790
Epoch 145: MRR Left = 0.798, MRR Right = 0.781, Average MRR = 0.790
Epoch 150: MRR Left = 0.798, MRR Right = 0.781, Average MRR = 0.790
Epoch 155: MRR Left = 0.798, MRR Right = 0.781, Average MRR = 0.790
Epoch 160: MRR Left = 0.798, MRR Right = 0.781, Average MRR = 0.790
Epoch 165: MRR Left = 0.799, MRR Right = 0.781, Average MRR = 0.790
Epoch 170: MRR Left = 0.799, MRR Right = 0.781, Average MRR = 0.790
Epoch 175: MRR Left = 0.800, MRR Right = 0.781, Average MRR = 0.790
Epoch 180: MRR Left = 0.800, MRR Right = 0.782, Average MRR = 0.791
Epoch 185: MRR Left = 0.800, MRR Right = 0.782, Average MRR = 0.791
Epoch 190: MRR Left = 0.801, MRR Right = 0.782, Average MRR = 0.792
Epoch 195: MRR Left = 0.800, MRR Right = 0.782, Average MRR = 0.791
Epoch 200: MRR Left = 0.801, MRR Right = 0.782, Average MRR = 0.792
Epoch 205: MRR Left = 0.801, MRR Right = 0.783, Average MRR = 0.792
Epoch 210: MRR Left = 0.801, MRR Right = 0.783, Average MRR = 0.792
Epoch 215: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 220: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 225: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 230: MRR Left = 0.803, MRR Right = 0.783, Average MRR = 0.793
Epoch 235: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 240: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 245: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 250: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 255: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 260: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 265: MRR Left = 0.802, MRR Right = 0.784, Average MRR = 0.793
Epoch 270: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 275: MRR Left = 0.802, MRR Right = 0.784, Average MRR = 0.793
Epoch 280: MRR Left = 0.803, MRR Right = 0.783, Average MRR = 0.793
Epoch 285: MRR Left = 0.803, MRR Right = 0.783, Average MRR = 0.793
Epoch 290: MRR Left = 0.803, MRR Right = 0.783, Average MRR = 0.793
Epoch 295: MRR Left = 0.803, MRR Right = 0.784, Average MRR = 0.794
Epoch 300: MRR Left = 0.803, MRR Right = 0.783, Average MRR = 0.793
Epoch 305: MRR Left = 0.803, MRR Right = 0.783, Average MRR = 0.793
Epoch 310: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 315: MRR Left = 0.802, MRR Right = 0.784, Average MRR = 0.793
Epoch 320: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 325: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 330: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 335: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
Epoch 340: MRR Left = 0.802, MRR Right = 0.783, Average MRR = 0.792
