Epoch 5: MRR Left = 0.578, MRR Right = 0.581, Average MRR = 0.579
Epoch 10: MRR Left = 0.588, MRR Right = 0.585, Average MRR = 0.587
Epoch 15: MRR Left = 0.615, MRR Right = 0.614, Average MRR = 0.615
Epoch 20: MRR Left = 0.624, MRR Right = 0.622, Average MRR = 0.623
Epoch 25: MRR Left = 0.613, MRR Right = 0.604, Average MRR = 0.609
Epoch 30: MRR Left = 0.640, MRR Right = 0.628, Average MRR = 0.634
Epoch 35: MRR Left = 0.634, MRR Right = 0.632, Average MRR = 0.633
Epoch 40: MRR Left = 0.640, MRR Right = 0.630, Average MRR = 0.635
Epoch 45: MRR Left = 0.627, MRR Right = 0.615, Average MRR = 0.621
Epoch 50: MRR Left = 0.642, MRR Right = 0.640, Average MRR = 0.641
Epoch 55: MRR Left = 0.644, MRR Right = 0.642, Average MRR = 0.643
Epoch 60: MRR Left = 0.638, MRR Right = 0.630, Average MRR = 0.634
Epoch 65: MRR Left = 0.636, MRR Right = 0.627, Average MRR = 0.631
Epoch 70: MRR Left = 0.644, MRR Right = 0.643, Average MRR = 0.643
Epoch 75: MRR Left = 0.646, MRR Right = 0.638, Average MRR = 0.642
Epoch 80: MRR Left = 0.646, MRR Right = 0.634, Average MRR = 0.640
Epoch 85: MRR Left = 0.643, MRR Right = 0.641, Average MRR = 0.642
Epoch 90: MRR Left = 0.650, MRR Right = 0.649, Average MRR = 0.649
Epoch 95: MRR Left = 0.647, MRR Right = 0.638, Average MRR = 0.643
Epoch 100: MRR Left = 0.649, MRR Right = 0.641, Average MRR = 0.645
Epoch 105: MRR Left = 0.642, MRR Right = 0.641, Average MRR = 0.641
Epoch 110: MRR Left = 0.655, MRR Right = 0.647, Average MRR = 0.651
Epoch 115: MRR Left = 0.647, MRR Right = 0.634, Average MRR = 0.641
Epoch 120: MRR Left = 0.648, MRR Right = 0.643, Average MRR = 0.645
Epoch 125: MRR Left = 0.649, MRR Right = 0.648, Average MRR = 0.649
Epoch 130: MRR Left = 0.641, MRR Right = 0.629, Average MRR = 0.635
Epoch 135: MRR Left = 0.653, MRR Right = 0.648, Average MRR = 0.651
Epoch 140: MRR Left = 0.647, MRR Right = 0.643, Average MRR = 0.645
Epoch 145: MRR Left = 0.652, MRR Right = 0.643, Average MRR = 0.647
Epoch 150: MRR Left = 0.652, MRR Right = 0.642, Average MRR = 0.647
Epoch 155: MRR Left = 0.649, MRR Right = 0.647, Average MRR = 0.648
Epoch 160: MRR Left = 0.655, MRR Right = 0.651, Average MRR = 0.653
Epoch 165: MRR Left = 0.647, MRR Right = 0.637, Average MRR = 0.642
Epoch 170: MRR Left = 0.653, MRR Right = 0.649, Average MRR = 0.651
Epoch 175: MRR Left = 0.644, MRR Right = 0.644, Average MRR = 0.644
Epoch 180: MRR Left = 0.656, MRR Right = 0.653, Average MRR = 0.655
Epoch 185: MRR Left = 0.645, MRR Right = 0.636, Average MRR = 0.641
Epoch 190: MRR Left = 0.652, MRR Right = 0.650, Average MRR = 0.651
Epoch 195: MRR Left = 0.645, MRR Right = 0.642, Average MRR = 0.643
Epoch 200: MRR Left = 0.657, MRR Right = 0.653, Average MRR = 0.655
Epoch 205: MRR Left = 0.650, MRR Right = 0.639, Average MRR = 0.645
Epoch 210: MRR Left = 0.653, MRR Right = 0.651, Average MRR = 0.652
Epoch 215: MRR Left = 0.649, MRR Right = 0.650, Average MRR = 0.649
Epoch 220: MRR Left = 0.656, MRR Right = 0.650, Average MRR = 0.653
Epoch 225: MRR Left = 0.655, MRR Right = 0.647, Average MRR = 0.651
Epoch 230: MRR Left = 0.654, MRR Right = 0.652, Average MRR = 0.653
Epoch 235: MRR Left = 0.652, MRR Right = 0.652, Average MRR = 0.652
Epoch 240: MRR Left = 0.653, MRR Right = 0.646, Average MRR = 0.649
Epoch 245: MRR Left = 0.658, MRR Right = 0.650, Average MRR = 0.654
Epoch 250: MRR Left = 0.647, MRR Right = 0.652, Average MRR = 0.649
Epoch 255: MRR Left = 0.651, MRR Right = 0.652, Average MRR = 0.651
Epoch 260: MRR Left = 0.653, MRR Right = 0.647, Average MRR = 0.650
Epoch 265: MRR Left = 0.657, MRR Right = 0.652, Average MRR = 0.655
Epoch 270: MRR Left = 0.650, MRR Right = 0.650, Average MRR = 0.650
Epoch 275: MRR Left = 0.652, MRR Right = 0.648, Average MRR = 0.650
Epoch 280: MRR Left = 0.656, MRR Right = 0.648, Average MRR = 0.652
Epoch 285: MRR Left = 0.657, MRR Right = 0.653, Average MRR = 0.655
Epoch 290: MRR Left = 0.652, MRR Right = 0.653, Average MRR = 0.653
Epoch 295: MRR Left = 0.651, MRR Right = 0.650, Average MRR = 0.651
Epoch 300: MRR Left = 0.658, MRR Right = 0.653, Average MRR = 0.655
Epoch 305: MRR Left = 0.655, MRR Right = 0.653, Average MRR = 0.654
Epoch 310: MRR Left = 0.656, MRR Right = 0.656, Average MRR = 0.656
Epoch 315: MRR Left = 0.651, MRR Right = 0.651, Average MRR = 0.651
Epoch 320: MRR Left = 0.659, MRR Right = 0.655, Average MRR = 0.657
Epoch 325: MRR Left = 0.659, MRR Right = 0.654, Average MRR = 0.657
Epoch 330: MRR Left = 0.656, MRR Right = 0.657, Average MRR = 0.657
Epoch 335: MRR Left = 0.655, MRR Right = 0.652, Average MRR = 0.653
Epoch 340: MRR Left = 0.657, MRR Right = 0.653, Average MRR = 0.655
