Epoch 5: Hits@1 Left = 0.763, Hits@1 Right = 0.742, Average Hits@1 = 0.752
Epoch 10: Hits@1 Left = 0.768, Hits@1 Right = 0.755, Average Hits@1 = 0.761
Epoch 15: Hits@1 Left = 0.773, Hits@1 Right = 0.756, Average Hits@1 = 0.765
Epoch 20: Hits@1 Left = 0.775, Hits@1 Right = 0.755, Average Hits@1 = 0.765
Epoch 25: Hits@1 Left = 0.778, Hits@1 Right = 0.761, Average Hits@1 = 0.770
Epoch 30: Hits@1 Left = 0.782, Hits@1 Right = 0.765, Average Hits@1 = 0.774
Epoch 35: Hits@1 Left = 0.784, Hits@1 Right = 0.766, Average Hits@1 = 0.775
Epoch 40: Hits@1 Left = 0.789, Hits@1 Right = 0.771, Average Hits@1 = 0.780
Epoch 45: Hits@1 Left = 0.790, Hits@1 Right = 0.770, Average Hits@1 = 0.780
Epoch 50: Hits@1 Left = 0.793, Hits@1 Right = 0.772, Average Hits@1 = 0.783
Epoch 55: Hits@1 Left = 0.795, Hits@1 Right = 0.776, Average Hits@1 = 0.785
Epoch 60: Hits@1 Left = 0.795, Hits@1 Right = 0.780, Average Hits@1 = 0.787
Epoch 65: Hits@1 Left = 0.796, Hits@1 Right = 0.780, Average Hits@1 = 0.788
Epoch 70: Hits@1 Left = 0.798, Hits@1 Right = 0.781, Average Hits@1 = 0.789
Epoch 75: Hits@1 Left = 0.799, Hits@1 Right = 0.780, Average Hits@1 = 0.789
Epoch 80: Hits@1 Left = 0.801, Hits@1 Right = 0.780, Average Hits@1 = 0.790
Epoch 85: Hits@1 Left = 0.803, Hits@1 Right = 0.784, Average Hits@1 = 0.793
Epoch 90: Hits@1 Left = 0.804, Hits@1 Right = 0.784, Average Hits@1 = 0.794
Epoch 95: Hits@1 Left = 0.804, Hits@1 Right = 0.784, Average Hits@1 = 0.794
Epoch 100: Hits@1 Left = 0.805, Hits@1 Right = 0.784, Average Hits@1 = 0.795
Epoch 105: Hits@1 Left = 0.808, Hits@1 Right = 0.785, Average Hits@1 = 0.796
Epoch 110: Hits@1 Left = 0.808, Hits@1 Right = 0.786, Average Hits@1 = 0.797
Epoch 115: Hits@1 Left = 0.807, Hits@1 Right = 0.785, Average Hits@1 = 0.796
Epoch 120: Hits@1 Left = 0.807, Hits@1 Right = 0.784, Average Hits@1 = 0.795
Epoch 125: Hits@1 Left = 0.809, Hits@1 Right = 0.786, Average Hits@1 = 0.798
Epoch 130: Hits@1 Left = 0.807, Hits@1 Right = 0.785, Average Hits@1 = 0.796
Epoch 135: Hits@1 Left = 0.807, Hits@1 Right = 0.787, Average Hits@1 = 0.797
Epoch 140: Hits@1 Left = 0.803, Hits@1 Right = 0.787, Average Hits@1 = 0.795
Epoch 145: Hits@1 Left = 0.808, Hits@1 Right = 0.788, Average Hits@1 = 0.798
Epoch 150: Hits@1 Left = 0.808, Hits@1 Right = 0.787, Average Hits@1 = 0.798
Epoch 155: Hits@1 Left = 0.806, Hits@1 Right = 0.787, Average Hits@1 = 0.796
Epoch 160: Hits@1 Left = 0.808, Hits@1 Right = 0.787, Average Hits@1 = 0.797
Epoch 165: Hits@1 Left = 0.810, Hits@1 Right = 0.788, Average Hits@1 = 0.799
Epoch 170: Hits@1 Left = 0.808, Hits@1 Right = 0.788, Average Hits@1 = 0.798
Epoch 175: Hits@1 Left = 0.812, Hits@1 Right = 0.790, Average Hits@1 = 0.801
Epoch 180: Hits@1 Left = 0.806, Hits@1 Right = 0.788, Average Hits@1 = 0.797
Epoch 185: Hits@1 Left = 0.811, Hits@1 Right = 0.789, Average Hits@1 = 0.800
Epoch 190: Hits@1 Left = 0.809, Hits@1 Right = 0.790, Average Hits@1 = 0.800
Epoch 195: Hits@1 Left = 0.809, Hits@1 Right = 0.794, Average Hits@1 = 0.802
Epoch 200: Hits@1 Left = 0.806, Hits@1 Right = 0.790, Average Hits@1 = 0.798
Epoch 205: Hits@1 Left = 0.811, Hits@1 Right = 0.792, Average Hits@1 = 0.801
Epoch 210: Hits@1 Left = 0.809, Hits@1 Right = 0.792, Average Hits@1 = 0.801
Epoch 215: Hits@1 Left = 0.806, Hits@1 Right = 0.796, Average Hits@1 = 0.801
Epoch 220: Hits@1 Left = 0.803, Hits@1 Right = 0.792, Average Hits@1 = 0.797
Epoch 225: Hits@1 Left = 0.811, Hits@1 Right = 0.795, Average Hits@1 = 0.803
Epoch 230: Hits@1 Left = 0.808, Hits@1 Right = 0.793, Average Hits@1 = 0.801
Epoch 235: Hits@1 Left = 0.806, Hits@1 Right = 0.793, Average Hits@1 = 0.800
Epoch 240: Hits@1 Left = 0.800, Hits@1 Right = 0.792, Average Hits@1 = 0.796
Epoch 245: Hits@1 Left = 0.809, Hits@1 Right = 0.794, Average Hits@1 = 0.802
Epoch 250: Hits@1 Left = 0.808, Hits@1 Right = 0.792, Average Hits@1 = 0.800
Epoch 255: Hits@1 Left = 0.804, Hits@1 Right = 0.797, Average Hits@1 = 0.801
Epoch 260: Hits@1 Left = 0.803, Hits@1 Right = 0.790, Average Hits@1 = 0.797
Epoch 265: Hits@1 Left = 0.810, Hits@1 Right = 0.792, Average Hits@1 = 0.801
Epoch 270: Hits@1 Left = 0.808, Hits@1 Right = 0.792, Average Hits@1 = 0.800
Epoch 275: Hits@1 Left = 0.808, Hits@1 Right = 0.797, Average Hits@1 = 0.802
Epoch 280: Hits@1 Left = 0.807, Hits@1 Right = 0.791, Average Hits@1 = 0.799
Epoch 285: Hits@1 Left = 0.809, Hits@1 Right = 0.792, Average Hits@1 = 0.800
Epoch 290: Hits@1 Left = 0.811, Hits@1 Right = 0.793, Average Hits@1 = 0.802
Epoch 295: Hits@1 Left = 0.812, Hits@1 Right = 0.797, Average Hits@1 = 0.805
Epoch 300: Hits@1 Left = 0.808, Hits@1 Right = 0.795, Average Hits@1 = 0.801
Epoch 305: Hits@1 Left = 0.808, Hits@1 Right = 0.793, Average Hits@1 = 0.801
Epoch 310: Hits@1 Left = 0.812, Hits@1 Right = 0.794, Average Hits@1 = 0.803
Epoch 315: Hits@1 Left = 0.808, Hits@1 Right = 0.800, Average Hits@1 = 0.804
Epoch 320: Hits@1 Left = 0.805, Hits@1 Right = 0.797, Average Hits@1 = 0.801
Epoch 325: Hits@1 Left = 0.809, Hits@1 Right = 0.795, Average Hits@1 = 0.802
Epoch 330: Hits@1 Left = 0.810, Hits@1 Right = 0.796, Average Hits@1 = 0.803
Epoch 335: Hits@1 Left = 0.807, Hits@1 Right = 0.801, Average Hits@1 = 0.804
Epoch 340: Hits@1 Left = 0.805, Hits@1 Right = 0.796, Average Hits@1 = 0.800
