Epoch 5: Hits@10 Left = 0.858, Hits@10 Right = 0.851, Average Hits@10 = 0.854
Epoch 10: Hits@10 Left = 0.857, Hits@10 Right = 0.845, Average Hits@10 = 0.851
Epoch 15: Hits@10 Left = 0.868, Hits@10 Right = 0.856, Average Hits@10 = 0.862
Epoch 20: Hits@10 Left = 0.870, Hits@10 Right = 0.857, Average Hits@10 = 0.864
Epoch 25: Hits@10 Left = 0.868, Hits@10 Right = 0.860, Average Hits@10 = 0.864
Epoch 30: Hits@10 Left = 0.870, Hits@10 Right = 0.861, Average Hits@10 = 0.866
Epoch 35: Hits@10 Left = 0.876, Hits@10 Right = 0.863, Average Hits@10 = 0.869
Epoch 40: Hits@10 Left = 0.874, Hits@10 Right = 0.867, Average Hits@10 = 0.870
Epoch 45: Hits@10 Left = 0.874, Hits@10 Right = 0.867, Average Hits@10 = 0.871
Epoch 50: Hits@10 Left = 0.877, Hits@10 Right = 0.867, Average Hits@10 = 0.872
Epoch 55: Hits@10 Left = 0.877, Hits@10 Right = 0.868, Average Hits@10 = 0.873
Epoch 60: Hits@10 Left = 0.880, Hits@10 Right = 0.870, Average Hits@10 = 0.875
Epoch 65: Hits@10 Left = 0.880, Hits@10 Right = 0.871, Average Hits@10 = 0.875
Epoch 70: Hits@10 Left = 0.880, Hits@10 Right = 0.872, Average Hits@10 = 0.876
Epoch 75: Hits@10 Left = 0.881, Hits@10 Right = 0.873, Average Hits@10 = 0.877
Epoch 80: Hits@10 Left = 0.881, Hits@10 Right = 0.873, Average Hits@10 = 0.877
Epoch 85: Hits@10 Left = 0.883, Hits@10 Right = 0.874, Average Hits@10 = 0.878
Epoch 90: Hits@10 Left = 0.881, Hits@10 Right = 0.877, Average Hits@10 = 0.879
Epoch 95: Hits@10 Left = 0.881, Hits@10 Right = 0.875, Average Hits@10 = 0.878
Epoch 100: Hits@10 Left = 0.880, Hits@10 Right = 0.874, Average Hits@10 = 0.877
Epoch 105: Hits@10 Left = 0.879, Hits@10 Right = 0.875, Average Hits@10 = 0.877
Epoch 110: Hits@10 Left = 0.880, Hits@10 Right = 0.874, Average Hits@10 = 0.877
Epoch 115: Hits@10 Left = 0.882, Hits@10 Right = 0.877, Average Hits@10 = 0.880
Epoch 120: Hits@10 Left = 0.880, Hits@10 Right = 0.876, Average Hits@10 = 0.878
Epoch 125: Hits@10 Left = 0.880, Hits@10 Right = 0.876, Average Hits@10 = 0.878
Epoch 130: Hits@10 Left = 0.879, Hits@10 Right = 0.876, Average Hits@10 = 0.878
Epoch 135: Hits@10 Left = 0.884, Hits@10 Right = 0.875, Average Hits@10 = 0.879
Epoch 140: Hits@10 Left = 0.884, Hits@10 Right = 0.878, Average Hits@10 = 0.881
Epoch 145: Hits@10 Left = 0.885, Hits@10 Right = 0.878, Average Hits@10 = 0.882
Epoch 150: Hits@10 Left = 0.884, Hits@10 Right = 0.877, Average Hits@10 = 0.881
Epoch 155: Hits@10 Left = 0.886, Hits@10 Right = 0.878, Average Hits@10 = 0.882
Epoch 160: Hits@10 Left = 0.886, Hits@10 Right = 0.879, Average Hits@10 = 0.882
Epoch 165: Hits@10 Left = 0.885, Hits@10 Right = 0.878, Average Hits@10 = 0.882
Epoch 170: Hits@10 Left = 0.885, Hits@10 Right = 0.876, Average Hits@10 = 0.881
Epoch 175: Hits@10 Left = 0.886, Hits@10 Right = 0.879, Average Hits@10 = 0.882
Epoch 180: Hits@10 Left = 0.885, Hits@10 Right = 0.877, Average Hits@10 = 0.881
Epoch 185: Hits@10 Left = 0.884, Hits@10 Right = 0.878, Average Hits@10 = 0.881
Epoch 190: Hits@10 Left = 0.885, Hits@10 Right = 0.876, Average Hits@10 = 0.881
Epoch 195: Hits@10 Left = 0.886, Hits@10 Right = 0.879, Average Hits@10 = 0.882
Epoch 200: Hits@10 Left = 0.884, Hits@10 Right = 0.878, Average Hits@10 = 0.881
Epoch 205: Hits@10 Left = 0.884, Hits@10 Right = 0.878, Average Hits@10 = 0.881
Epoch 210: Hits@10 Left = 0.884, Hits@10 Right = 0.876, Average Hits@10 = 0.880
Epoch 215: Hits@10 Left = 0.885, Hits@10 Right = 0.877, Average Hits@10 = 0.881
Epoch 220: Hits@10 Left = 0.884, Hits@10 Right = 0.880, Average Hits@10 = 0.882
Epoch 225: Hits@10 Left = 0.886, Hits@10 Right = 0.881, Average Hits@10 = 0.884
Epoch 230: Hits@10 Left = 0.887, Hits@10 Right = 0.880, Average Hits@10 = 0.883
Epoch 235: Hits@10 Left = 0.885, Hits@10 Right = 0.878, Average Hits@10 = 0.881
Epoch 240: Hits@10 Left = 0.883, Hits@10 Right = 0.879, Average Hits@10 = 0.881
Epoch 245: Hits@10 Left = 0.885, Hits@10 Right = 0.880, Average Hits@10 = 0.883
Epoch 250: Hits@10 Left = 0.885, Hits@10 Right = 0.879, Average Hits@10 = 0.882
Epoch 255: Hits@10 Left = 0.885, Hits@10 Right = 0.880, Average Hits@10 = 0.883
Epoch 260: Hits@10 Left = 0.885, Hits@10 Right = 0.879, Average Hits@10 = 0.882
Epoch 265: Hits@10 Left = 0.884, Hits@10 Right = 0.881, Average Hits@10 = 0.883
Epoch 270: Hits@10 Left = 0.884, Hits@10 Right = 0.878, Average Hits@10 = 0.881
Epoch 275: Hits@10 Left = 0.886, Hits@10 Right = 0.880, Average Hits@10 = 0.883
Epoch 280: Hits@10 Left = 0.885, Hits@10 Right = 0.878, Average Hits@10 = 0.882
Epoch 285: Hits@10 Left = 0.884, Hits@10 Right = 0.880, Average Hits@10 = 0.882
Epoch 290: Hits@10 Left = 0.884, Hits@10 Right = 0.878, Average Hits@10 = 0.881
Epoch 295: Hits@10 Left = 0.886, Hits@10 Right = 0.880, Average Hits@10 = 0.883
Epoch 300: Hits@10 Left = 0.885, Hits@10 Right = 0.878, Average Hits@10 = 0.882
Epoch 305: Hits@10 Left = 0.886, Hits@10 Right = 0.880, Average Hits@10 = 0.883
Epoch 310: Hits@10 Left = 0.883, Hits@10 Right = 0.878, Average Hits@10 = 0.880
Epoch 315: Hits@10 Left = 0.885, Hits@10 Right = 0.880, Average Hits@10 = 0.882
Epoch 320: Hits@10 Left = 0.886, Hits@10 Right = 0.879, Average Hits@10 = 0.882
Epoch 325: Hits@10 Left = 0.887, Hits@10 Right = 0.882, Average Hits@10 = 0.885
Epoch 330: Hits@10 Left = 0.885, Hits@10 Right = 0.883, Average Hits@10 = 0.884
Epoch 335: Hits@10 Left = 0.886, Hits@10 Right = 0.879, Average Hits@10 = 0.882
Epoch 340: Hits@10 Left = 0.884, Hits@10 Right = 0.878, Average Hits@10 = 0.881
