Epoch 5: Hits@10 Left = 0.696, Hits@10 Right = 0.704, Average Hits@10 = 0.700
Epoch 10: Hits@10 Left = 0.702, Hits@10 Right = 0.702, Average Hits@10 = 0.702
Epoch 15: Hits@10 Left = 0.728, Hits@10 Right = 0.725, Average Hits@10 = 0.727
Epoch 20: Hits@10 Left = 0.735, Hits@10 Right = 0.729, Average Hits@10 = 0.732
Epoch 25: Hits@10 Left = 0.712, Hits@10 Right = 0.707, Average Hits@10 = 0.710
Epoch 30: Hits@10 Left = 0.743, Hits@10 Right = 0.740, Average Hits@10 = 0.742
Epoch 35: Hits@10 Left = 0.741, Hits@10 Right = 0.740, Average Hits@10 = 0.741
Epoch 40: Hits@10 Left = 0.742, Hits@10 Right = 0.737, Average Hits@10 = 0.740
Epoch 45: Hits@10 Left = 0.724, Hits@10 Right = 0.717, Average Hits@10 = 0.721
Epoch 50: Hits@10 Left = 0.744, Hits@10 Right = 0.747, Average Hits@10 = 0.745
Epoch 55: Hits@10 Left = 0.746, Hits@10 Right = 0.745, Average Hits@10 = 0.746
Epoch 60: Hits@10 Left = 0.736, Hits@10 Right = 0.735, Average Hits@10 = 0.736
Epoch 65: Hits@10 Left = 0.736, Hits@10 Right = 0.734, Average Hits@10 = 0.735
Epoch 70: Hits@10 Left = 0.746, Hits@10 Right = 0.748, Average Hits@10 = 0.747
Epoch 75: Hits@10 Left = 0.749, Hits@10 Right = 0.742, Average Hits@10 = 0.745
Epoch 80: Hits@10 Left = 0.744, Hits@10 Right = 0.741, Average Hits@10 = 0.743
Epoch 85: Hits@10 Left = 0.741, Hits@10 Right = 0.740, Average Hits@10 = 0.741
Epoch 90: Hits@10 Left = 0.751, Hits@10 Right = 0.752, Average Hits@10 = 0.751
Epoch 95: Hits@10 Left = 0.753, Hits@10 Right = 0.738, Average Hits@10 = 0.746
Epoch 100: Hits@10 Left = 0.747, Hits@10 Right = 0.743, Average Hits@10 = 0.745
Epoch 105: Hits@10 Left = 0.746, Hits@10 Right = 0.745, Average Hits@10 = 0.746
Epoch 110: Hits@10 Left = 0.758, Hits@10 Right = 0.750, Average Hits@10 = 0.754
Epoch 115: Hits@10 Left = 0.746, Hits@10 Right = 0.733, Average Hits@10 = 0.740
Epoch 120: Hits@10 Left = 0.752, Hits@10 Right = 0.748, Average Hits@10 = 0.750
Epoch 125: Hits@10 Left = 0.752, Hits@10 Right = 0.749, Average Hits@10 = 0.751
Epoch 130: Hits@10 Left = 0.733, Hits@10 Right = 0.736, Average Hits@10 = 0.735
Epoch 135: Hits@10 Left = 0.756, Hits@10 Right = 0.752, Average Hits@10 = 0.754
Epoch 140: Hits@10 Left = 0.748, Hits@10 Right = 0.746, Average Hits@10 = 0.747
Epoch 145: Hits@10 Left = 0.751, Hits@10 Right = 0.748, Average Hits@10 = 0.750
Epoch 150: Hits@10 Left = 0.751, Hits@10 Right = 0.747, Average Hits@10 = 0.749
Epoch 155: Hits@10 Left = 0.752, Hits@10 Right = 0.753, Average Hits@10 = 0.753
Epoch 160: Hits@10 Left = 0.757, Hits@10 Right = 0.752, Average Hits@10 = 0.755
Epoch 165: Hits@10 Left = 0.744, Hits@10 Right = 0.735, Average Hits@10 = 0.739
Epoch 170: Hits@10 Left = 0.754, Hits@10 Right = 0.756, Average Hits@10 = 0.755
Epoch 175: Hits@10 Left = 0.748, Hits@10 Right = 0.751, Average Hits@10 = 0.749
Epoch 180: Hits@10 Left = 0.764, Hits@10 Right = 0.755, Average Hits@10 = 0.760
Epoch 185: Hits@10 Left = 0.743, Hits@10 Right = 0.738, Average Hits@10 = 0.740
Epoch 190: Hits@10 Left = 0.748, Hits@10 Right = 0.748, Average Hits@10 = 0.748
Epoch 195: Hits@10 Left = 0.748, Hits@10 Right = 0.747, Average Hits@10 = 0.747
Epoch 200: Hits@10 Left = 0.763, Hits@10 Right = 0.756, Average Hits@10 = 0.759
Epoch 205: Hits@10 Left = 0.750, Hits@10 Right = 0.743, Average Hits@10 = 0.746
