Epoch 5: MRR Left = 0.548, MRR Right = 0.538, Average MRR = 0.543
Epoch 10: MRR Left = 0.551, MRR Right = 0.532, Average MRR = 0.542
Epoch 15: MRR Left = 0.577, MRR Right = 0.569, Average MRR = 0.573
Epoch 20: MRR Left = 0.585, MRR Right = 0.571, Average MRR = 0.578
Epoch 25: MRR Left = 0.577, MRR Right = 0.563, Average MRR = 0.570
Epoch 30: MRR Left = 0.592, MRR Right = 0.586, Average MRR = 0.589
Epoch 35: MRR Left = 0.585, MRR Right = 0.579, Average MRR = 0.582
Epoch 40: MRR Left = 0.595, MRR Right = 0.592, Average MRR = 0.593
Epoch 45: MRR Left = 0.579, MRR Right = 0.566, Average MRR = 0.573
Epoch 50: MRR Left = 0.600, MRR Right = 0.592, Average MRR = 0.596
Epoch 55: MRR Left = 0.594, MRR Right = 0.592, Average MRR = 0.593
Epoch 60: MRR Left = 0.598, MRR Right = 0.590, Average MRR = 0.594
Epoch 65: MRR Left = 0.594, MRR Right = 0.583, Average MRR = 0.589
Epoch 70: MRR Left = 0.601, MRR Right = 0.593, Average MRR = 0.597
Epoch 75: MRR Left = 0.597, MRR Right = 0.599, Average MRR = 0.598
Epoch 80: MRR Left = 0.602, MRR Right = 0.594, Average MRR = 0.598
Epoch 85: MRR Left = 0.603, MRR Right = 0.586, Average MRR = 0.595
Epoch 90: MRR Left = 0.607, MRR Right = 0.593, Average MRR = 0.600
Epoch 95: MRR Left = 0.602, MRR Right = 0.597, Average MRR = 0.599
Epoch 100: MRR Left = 0.607, MRR Right = 0.596, Average MRR = 0.601
Epoch 105: MRR Left = 0.605, MRR Right = 0.594, Average MRR = 0.599
Epoch 110: MRR Left = 0.610, MRR Right = 0.600, Average MRR = 0.605
Epoch 115: MRR Left = 0.595, MRR Right = 0.582, Average MRR = 0.589
Epoch 120: MRR Left = 0.610, MRR Right = 0.606, Average MRR = 0.608
Epoch 125: MRR Left = 0.601, MRR Right = 0.593, Average MRR = 0.597
Epoch 130: MRR Left = 0.613, MRR Right = 0.597, Average MRR = 0.605
Epoch 135: MRR Left = 0.604, MRR Right = 0.591, Average MRR = 0.597
Epoch 140: MRR Left = 0.608, MRR Right = 0.603, Average MRR = 0.605
Epoch 145: MRR Left = 0.610, MRR Right = 0.601, Average MRR = 0.605
Epoch 150: MRR Left = 0.610, MRR Right = 0.597, Average MRR = 0.603
Epoch 155: MRR Left = 0.612, MRR Right = 0.602, Average MRR = 0.607
Epoch 160: MRR Left = 0.605, MRR Right = 0.600, Average MRR = 0.603
Epoch 165: MRR Left = 0.613, MRR Right = 0.606, Average MRR = 0.609
Epoch 170: MRR Left = 0.605, MRR Right = 0.593, Average MRR = 0.599
Epoch 175: MRR Left = 0.617, MRR Right = 0.606, Average MRR = 0.611
Epoch 180: MRR Left = 0.606, MRR Right = 0.596, Average MRR = 0.601
Epoch 185: MRR Left = 0.614, MRR Right = 0.607, Average MRR = 0.611
Epoch 190: MRR Left = 0.606, MRR Right = 0.592, Average MRR = 0.599
Epoch 195: MRR Left = 0.612, MRR Right = 0.603, Average MRR = 0.607
Epoch 200: MRR Left = 0.606, MRR Right = 0.598, Average MRR = 0.602
Epoch 205: MRR Left = 0.613, MRR Right = 0.605, Average MRR = 0.609
Epoch 210: MRR Left = 0.609, MRR Right = 0.597, Average MRR = 0.603
Epoch 215: MRR Left = 0.612, MRR Right = 0.603, Average MRR = 0.607
Epoch 220: MRR Left = 0.609, MRR Right = 0.601, Average MRR = 0.605
Epoch 225: MRR Left = 0.615, MRR Right = 0.604, Average MRR = 0.609
Epoch 230: MRR Left = 0.613, MRR Right = 0.602, Average MRR = 0.607
Epoch 235: MRR Left = 0.610, MRR Right = 0.604, Average MRR = 0.607
Epoch 240: MRR Left = 0.609, MRR Right = 0.603, Average MRR = 0.606
Epoch 245: MRR Left = 0.616, MRR Right = 0.603, Average MRR = 0.609
Epoch 250: MRR Left = 0.613, MRR Right = 0.601, Average MRR = 0.607
Epoch 255: MRR Left = 0.611, MRR Right = 0.603, Average MRR = 0.607
Epoch 260: MRR Left = 0.613, MRR Right = 0.603, Average MRR = 0.608
Epoch 265: MRR Left = 0.616, MRR Right = 0.605, Average MRR = 0.611
Epoch 270: MRR Left = 0.615, MRR Right = 0.604, Average MRR = 0.609
Epoch 275: MRR Left = 0.611, MRR Right = 0.602, Average MRR = 0.607
Epoch 280: MRR Left = 0.616, MRR Right = 0.605, Average MRR = 0.611
Epoch 285: MRR Left = 0.616, MRR Right = 0.602, Average MRR = 0.609
Epoch 290: MRR Left = 0.617, MRR Right = 0.607, Average MRR = 0.612
Epoch 295: MRR Left = 0.610, MRR Right = 0.601, Average MRR = 0.605
Epoch 300: MRR Left = 0.618, MRR Right = 0.604, Average MRR = 0.611
Epoch 305: MRR Left = 0.614, MRR Right = 0.599, Average MRR = 0.607
Epoch 310: MRR Left = 0.617, MRR Right = 0.609, Average MRR = 0.613
Epoch 315: MRR Left = 0.611, MRR Right = 0.600, Average MRR = 0.605
Epoch 320: MRR Left = 0.622, MRR Right = 0.606, Average MRR = 0.614
Epoch 325: MRR Left = 0.616, MRR Right = 0.601, Average MRR = 0.609
Epoch 330: MRR Left = 0.619, MRR Right = 0.610, Average MRR = 0.615
Epoch 335: MRR Left = 0.613, MRR Right = 0.602, Average MRR = 0.607
Epoch 340: MRR Left = 0.625, MRR Right = 0.607, Average MRR = 0.616
