Epoch 5: Hits@1 Left = 0.702, Hits@1 Right = 0.678, Average Hits@1 = 0.690
Epoch 10: Hits@1 Left = 0.711, Hits@1 Right = 0.682, Average Hits@1 = 0.697
Epoch 15: Hits@1 Left = 0.714, Hits@1 Right = 0.687, Average Hits@1 = 0.700
Epoch 20: Hits@1 Left = 0.714, Hits@1 Right = 0.687, Average Hits@1 = 0.701
Epoch 25: Hits@1 Left = 0.717, Hits@1 Right = 0.695, Average Hits@1 = 0.706
Epoch 30: Hits@1 Left = 0.722, Hits@1 Right = 0.700, Average Hits@1 = 0.711
Epoch 35: Hits@1 Left = 0.724, Hits@1 Right = 0.700, Average Hits@1 = 0.712
Epoch 40: Hits@1 Left = 0.727, Hits@1 Right = 0.703, Average Hits@1 = 0.715
Epoch 45: Hits@1 Left = 0.732, Hits@1 Right = 0.707, Average Hits@1 = 0.720
Epoch 50: Hits@1 Left = 0.733, Hits@1 Right = 0.706, Average Hits@1 = 0.719
Epoch 55: Hits@1 Left = 0.734, Hits@1 Right = 0.708, Average Hits@1 = 0.721
Epoch 60: Hits@1 Left = 0.736, Hits@1 Right = 0.708, Average Hits@1 = 0.722
Epoch 65: Hits@1 Left = 0.737, Hits@1 Right = 0.709, Average Hits@1 = 0.723
Epoch 70: Hits@1 Left = 0.740, Hits@1 Right = 0.711, Average Hits@1 = 0.726
Epoch 75: Hits@1 Left = 0.742, Hits@1 Right = 0.714, Average Hits@1 = 0.728
Epoch 80: Hits@1 Left = 0.742, Hits@1 Right = 0.714, Average Hits@1 = 0.728
Epoch 85: Hits@1 Left = 0.741, Hits@1 Right = 0.715, Average Hits@1 = 0.728
Epoch 90: Hits@1 Left = 0.743, Hits@1 Right = 0.716, Average Hits@1 = 0.730
Epoch 95: Hits@1 Left = 0.742, Hits@1 Right = 0.718, Average Hits@1 = 0.730
Epoch 100: Hits@1 Left = 0.743, Hits@1 Right = 0.720, Average Hits@1 = 0.731
Epoch 105: Hits@1 Left = 0.744, Hits@1 Right = 0.721, Average Hits@1 = 0.732
Epoch 110: Hits@1 Left = 0.744, Hits@1 Right = 0.723, Average Hits@1 = 0.733
Epoch 115: Hits@1 Left = 0.744, Hits@1 Right = 0.721, Average Hits@1 = 0.732
Epoch 120: Hits@1 Left = 0.744, Hits@1 Right = 0.723, Average Hits@1 = 0.734
Epoch 125: Hits@1 Left = 0.744, Hits@1 Right = 0.722, Average Hits@1 = 0.733
Epoch 130: Hits@1 Left = 0.744, Hits@1 Right = 0.723, Average Hits@1 = 0.733
Epoch 135: Hits@1 Left = 0.744, Hits@1 Right = 0.723, Average Hits@1 = 0.734
Epoch 140: Hits@1 Left = 0.745, Hits@1 Right = 0.723, Average Hits@1 = 0.734
Epoch 145: Hits@1 Left = 0.746, Hits@1 Right = 0.724, Average Hits@1 = 0.735
Epoch 150: Hits@1 Left = 0.748, Hits@1 Right = 0.726, Average Hits@1 = 0.737
Epoch 155: Hits@1 Left = 0.748, Hits@1 Right = 0.726, Average Hits@1 = 0.737
Epoch 160: Hits@1 Left = 0.749, Hits@1 Right = 0.727, Average Hits@1 = 0.738
Epoch 165: Hits@1 Left = 0.747, Hits@1 Right = 0.726, Average Hits@1 = 0.736
Epoch 170: Hits@1 Left = 0.748, Hits@1 Right = 0.728, Average Hits@1 = 0.738
Epoch 175: Hits@1 Left = 0.748, Hits@1 Right = 0.728, Average Hits@1 = 0.738
Epoch 180: Hits@1 Left = 0.748, Hits@1 Right = 0.727, Average Hits@1 = 0.738
Epoch 185: Hits@1 Left = 0.749, Hits@1 Right = 0.729, Average Hits@1 = 0.739
Epoch 190: Hits@1 Left = 0.749, Hits@1 Right = 0.728, Average Hits@1 = 0.738
Epoch 195: Hits@1 Left = 0.748, Hits@1 Right = 0.732, Average Hits@1 = 0.740
Epoch 200: Hits@1 Left = 0.748, Hits@1 Right = 0.730, Average Hits@1 = 0.739
Epoch 205: Hits@1 Left = 0.746, Hits@1 Right = 0.730, Average Hits@1 = 0.738
Epoch 210: Hits@1 Left = 0.745, Hits@1 Right = 0.730, Average Hits@1 = 0.738
Epoch 215: Hits@1 Left = 0.747, Hits@1 Right = 0.731, Average Hits@1 = 0.739
Epoch 220: Hits@1 Left = 0.748, Hits@1 Right = 0.731, Average Hits@1 = 0.739
Epoch 225: Hits@1 Left = 0.745, Hits@1 Right = 0.733, Average Hits@1 = 0.739
Epoch 230: Hits@1 Left = 0.747, Hits@1 Right = 0.732, Average Hits@1 = 0.740
Epoch 235: Hits@1 Left = 0.745, Hits@1 Right = 0.732, Average Hits@1 = 0.738
Epoch 240: Hits@1 Left = 0.747, Hits@1 Right = 0.730, Average Hits@1 = 0.738
Epoch 245: Hits@1 Left = 0.748, Hits@1 Right = 0.733, Average Hits@1 = 0.740
Epoch 250: Hits@1 Left = 0.745, Hits@1 Right = 0.733, Average Hits@1 = 0.739
Epoch 255: Hits@1 Left = 0.744, Hits@1 Right = 0.732, Average Hits@1 = 0.738
Epoch 260: Hits@1 Left = 0.745, Hits@1 Right = 0.728, Average Hits@1 = 0.737
Epoch 265: Hits@1 Left = 0.745, Hits@1 Right = 0.730, Average Hits@1 = 0.738
Epoch 270: Hits@1 Left = 0.745, Hits@1 Right = 0.729, Average Hits@1 = 0.737
Epoch 275: Hits@1 Left = 0.744, Hits@1 Right = 0.730, Average Hits@1 = 0.737
Epoch 280: Hits@1 Left = 0.747, Hits@1 Right = 0.727, Average Hits@1 = 0.737
Epoch 285: Hits@1 Left = 0.746, Hits@1 Right = 0.728, Average Hits@1 = 0.737
Epoch 290: Hits@1 Left = 0.744, Hits@1 Right = 0.727, Average Hits@1 = 0.736
Epoch 295: Hits@1 Left = 0.746, Hits@1 Right = 0.727, Average Hits@1 = 0.736
Epoch 300: Hits@1 Left = 0.742, Hits@1 Right = 0.724, Average Hits@1 = 0.733
Epoch 305: Hits@1 Left = 0.748, Hits@1 Right = 0.727, Average Hits@1 = 0.737
