Epoch 5: Hits@1 Left = 0.675, Hits@1 Right = 0.661, Average Hits@1 = 0.668
Epoch 10: Hits@1 Left = 0.678, Hits@1 Right = 0.667, Average Hits@1 = 0.672
Epoch 15: Hits@1 Left = 0.680, Hits@1 Right = 0.668, Average Hits@1 = 0.674
Epoch 20: Hits@1 Left = 0.682, Hits@1 Right = 0.668, Average Hits@1 = 0.675
Epoch 25: Hits@1 Left = 0.683, Hits@1 Right = 0.668, Average Hits@1 = 0.676
Epoch 30: Hits@1 Left = 0.683, Hits@1 Right = 0.669, Average Hits@1 = 0.676
Epoch 35: Hits@1 Left = 0.684, Hits@1 Right = 0.669, Average Hits@1 = 0.677
Epoch 40: Hits@1 Left = 0.685, Hits@1 Right = 0.670, Average Hits@1 = 0.678
Epoch 45: Hits@1 Left = 0.684, Hits@1 Right = 0.672, Average Hits@1 = 0.678
Epoch 50: Hits@1 Left = 0.686, Hits@1 Right = 0.672, Average Hits@1 = 0.679
Epoch 55: Hits@1 Left = 0.687, Hits@1 Right = 0.672, Average Hits@1 = 0.679
Epoch 60: Hits@1 Left = 0.688, Hits@1 Right = 0.673, Average Hits@1 = 0.680
Epoch 65: Hits@1 Left = 0.688, Hits@1 Right = 0.673, Average Hits@1 = 0.681
Epoch 70: Hits@1 Left = 0.688, Hits@1 Right = 0.673, Average Hits@1 = 0.681
Epoch 75: Hits@1 Left = 0.689, Hits@1 Right = 0.674, Average Hits@1 = 0.681
Epoch 80: Hits@1 Left = 0.688, Hits@1 Right = 0.673, Average Hits@1 = 0.681
Epoch 85: Hits@1 Left = 0.689, Hits@1 Right = 0.673, Average Hits@1 = 0.681
Epoch 90: Hits@1 Left = 0.690, Hits@1 Right = 0.672, Average Hits@1 = 0.681
Epoch 95: Hits@1 Left = 0.690, Hits@1 Right = 0.673, Average Hits@1 = 0.682
Epoch 100: Hits@1 Left = 0.690, Hits@1 Right = 0.674, Average Hits@1 = 0.682
Epoch 105: Hits@1 Left = 0.691, Hits@1 Right = 0.675, Average Hits@1 = 0.683
Epoch 110: Hits@1 Left = 0.691, Hits@1 Right = 0.676, Average Hits@1 = 0.684
Epoch 115: Hits@1 Left = 0.692, Hits@1 Right = 0.676, Average Hits@1 = 0.684
Epoch 120: Hits@1 Left = 0.691, Hits@1 Right = 0.678, Average Hits@1 = 0.684
Epoch 125: Hits@1 Left = 0.691, Hits@1 Right = 0.678, Average Hits@1 = 0.684
Epoch 130: Hits@1 Left = 0.692, Hits@1 Right = 0.678, Average Hits@1 = 0.685
Epoch 135: Hits@1 Left = 0.692, Hits@1 Right = 0.678, Average Hits@1 = 0.685
Epoch 140: Hits@1 Left = 0.692, Hits@1 Right = 0.678, Average Hits@1 = 0.685
Epoch 145: Hits@1 Left = 0.692, Hits@1 Right = 0.679, Average Hits@1 = 0.686
Epoch 150: Hits@1 Left = 0.692, Hits@1 Right = 0.679, Average Hits@1 = 0.685
Epoch 155: Hits@1 Left = 0.692, Hits@1 Right = 0.679, Average Hits@1 = 0.685
Epoch 160: Hits@1 Left = 0.692, Hits@1 Right = 0.679, Average Hits@1 = 0.685
Epoch 165: Hits@1 Left = 0.692, Hits@1 Right = 0.679, Average Hits@1 = 0.685
Epoch 170: Hits@1 Left = 0.692, Hits@1 Right = 0.679, Average Hits@1 = 0.686
Epoch 175: Hits@1 Left = 0.692, Hits@1 Right = 0.679, Average Hits@1 = 0.686
Epoch 180: Hits@1 Left = 0.692, Hits@1 Right = 0.679, Average Hits@1 = 0.686
Epoch 185: Hits@1 Left = 0.692, Hits@1 Right = 0.680, Average Hits@1 = 0.686
Epoch 190: Hits@1 Left = 0.692, Hits@1 Right = 0.680, Average Hits@1 = 0.686
Epoch 195: Hits@1 Left = 0.692, Hits@1 Right = 0.680, Average Hits@1 = 0.686
Epoch 200: Hits@1 Left = 0.692, Hits@1 Right = 0.681, Average Hits@1 = 0.686
Epoch 205: Hits@1 Left = 0.692, Hits@1 Right = 0.681, Average Hits@1 = 0.686
Epoch 210: Hits@1 Left = 0.692, Hits@1 Right = 0.681, Average Hits@1 = 0.686
Epoch 215: Hits@1 Left = 0.692, Hits@1 Right = 0.681, Average Hits@1 = 0.686
Epoch 220: Hits@1 Left = 0.692, Hits@1 Right = 0.681, Average Hits@1 = 0.686
Epoch 225: Hits@1 Left = 0.692, Hits@1 Right = 0.681, Average Hits@1 = 0.687
Epoch 230: Hits@1 Left = 0.692, Hits@1 Right = 0.682, Average Hits@1 = 0.687
Epoch 235: Hits@1 Left = 0.692, Hits@1 Right = 0.682, Average Hits@1 = 0.687
Epoch 240: Hits@1 Left = 0.693, Hits@1 Right = 0.682, Average Hits@1 = 0.688
Epoch 245: Hits@1 Left = 0.693, Hits@1 Right = 0.682, Average Hits@1 = 0.688
