Epoch 5: Hits@10 Left = 0.662, Hits@10 Right = 0.670, Average Hits@10 = 0.666
Epoch 10: Hits@10 Left = 0.669, Hits@10 Right = 0.663, Average Hits@10 = 0.666
Epoch 15: Hits@10 Left = 0.688, Hits@10 Right = 0.693, Average Hits@10 = 0.691
Epoch 20: Hits@10 Left = 0.688, Hits@10 Right = 0.694, Average Hits@10 = 0.691
Epoch 25: Hits@10 Left = 0.689, Hits@10 Right = 0.684, Average Hits@10 = 0.686
Epoch 30: Hits@10 Left = 0.700, Hits@10 Right = 0.704, Average Hits@10 = 0.702
Epoch 35: Hits@10 Left = 0.687, Hits@10 Right = 0.701, Average Hits@10 = 0.694
Epoch 40: Hits@10 Left = 0.705, Hits@10 Right = 0.708, Average Hits@10 = 0.707
Epoch 45: Hits@10 Left = 0.691, Hits@10 Right = 0.688, Average Hits@10 = 0.689
Epoch 50: Hits@10 Left = 0.700, Hits@10 Right = 0.707, Average Hits@10 = 0.704
Epoch 55: Hits@10 Left = 0.698, Hits@10 Right = 0.709, Average Hits@10 = 0.704
Epoch 60: Hits@10 Left = 0.708, Hits@10 Right = 0.708, Average Hits@10 = 0.708
Epoch 65: Hits@10 Left = 0.705, Hits@10 Right = 0.697, Average Hits@10 = 0.701
Epoch 70: Hits@10 Left = 0.704, Hits@10 Right = 0.709, Average Hits@10 = 0.706
Epoch 75: Hits@10 Left = 0.706, Hits@10 Right = 0.712, Average Hits@10 = 0.709
Epoch 80: Hits@10 Left = 0.714, Hits@10 Right = 0.712, Average Hits@10 = 0.713
Epoch 85: Hits@10 Left = 0.705, Hits@10 Right = 0.703, Average Hits@10 = 0.704
Epoch 90: Hits@10 Left = 0.707, Hits@10 Right = 0.704, Average Hits@10 = 0.705
Epoch 95: Hits@10 Left = 0.717, Hits@10 Right = 0.713, Average Hits@10 = 0.715
Epoch 100: Hits@10 Left = 0.712, Hits@10 Right = 0.708, Average Hits@10 = 0.710
Epoch 105: Hits@10 Left = 0.704, Hits@10 Right = 0.707, Average Hits@10 = 0.705
Epoch 110: Hits@10 Left = 0.713, Hits@10 Right = 0.712, Average Hits@10 = 0.712
