Epoch 5: MRR Left = 0.801, MRR Right = 0.796
Epoch 10: MRR Left = 0.851, MRR Right = 0.851
Epoch 15: MRR Left = 0.887, MRR Right = 0.891
Epoch 20: MRR Left = 0.891, MRR Right = 0.898
Epoch 25: MRR Left = 0.891, MRR Right = 0.896
Epoch 30: MRR Left = 0.883, MRR Right = 0.881
Epoch 35: MRR Left = 0.897, MRR Right = 0.893
Epoch 40: MRR Left = 0.911, MRR Right = 0.909
Epoch 45: MRR Left = 0.918, MRR Right = 0.918
Epoch 50: MRR Left = 0.926, MRR Right = 0.925
Epoch 55: MRR Left = 0.933, MRR Right = 0.931
Epoch 60: MRR Left = 0.937, MRR Right = 0.934
Epoch 65: MRR Left = 0.940, MRR Right = 0.938
Epoch 70: MRR Left = 0.942, MRR Right = 0.941
Epoch 75: MRR Left = 0.945, MRR Right = 0.944
Epoch 80: MRR Left = 0.947, MRR Right = 0.946
Epoch 85: MRR Left = 0.949, MRR Right = 0.948
Epoch 90: MRR Left = 0.952, MRR Right = 0.949
Epoch 95: MRR Left = 0.954, MRR Right = 0.951
Epoch 100: MRR Left = 0.956, MRR Right = 0.953
Epoch 105: MRR Left = 0.959, MRR Right = 0.955
Epoch 110: MRR Left = 0.960, MRR Right = 0.957
Epoch 115: MRR Left = 0.962, MRR Right = 0.959
Epoch 120: MRR Left = 0.962, MRR Right = 0.959
Epoch 125: MRR Left = 0.964, MRR Right = 0.960
Epoch 130: MRR Left = 0.964, MRR Right = 0.961
Epoch 135: MRR Left = 0.964, MRR Right = 0.960
Epoch 140: MRR Left = 0.967, MRR Right = 0.962
Epoch 145: MRR Left = 0.966, MRR Right = 0.962
Epoch 150: MRR Left = 0.967, MRR Right = 0.962
Epoch 155: MRR Left = 0.967, MRR Right = 0.963
Epoch 160: MRR Left = 0.967, MRR Right = 0.964
Epoch 165: MRR Left = 0.967, MRR Right = 0.963
Epoch 170: MRR Left = 0.968, MRR Right = 0.964
Epoch 175: MRR Left = 0.967, MRR Right = 0.963
Epoch 180: MRR Left = 0.968, MRR Right = 0.965
Epoch 185: MRR Left = 0.969, MRR Right = 0.964
Epoch 190: MRR Left = 0.969, MRR Right = 0.965
Epoch 195: MRR Left = 0.968, MRR Right = 0.966
Epoch 200: MRR Left = 0.969, MRR Right = 0.966
Epoch 205: MRR Left = 0.968, MRR Right = 0.967
Epoch 210: MRR Left = 0.968, MRR Right = 0.967
Epoch 215: MRR Left = 0.969, MRR Right = 0.967
Epoch 220: MRR Left = 0.968, MRR Right = 0.966
Epoch 225: MRR Left = 0.969, MRR Right = 0.966
Epoch 230: MRR Left = 0.969, MRR Right = 0.967
Epoch 235: MRR Left = 0.969, MRR Right = 0.967
Epoch 240: MRR Left = 0.969, MRR Right = 0.968
Epoch 245: MRR Left = 0.970, MRR Right = 0.968
Epoch 250: MRR Left = 0.969, MRR Right = 0.968
Epoch 255: MRR Left = 0.969, MRR Right = 0.967
Epoch 260: MRR Left = 0.969, MRR Right = 0.968
Epoch 265: MRR Left = 0.969, MRR Right = 0.969
Epoch 270: MRR Left = 0.970, MRR Right = 0.969
Epoch 275: MRR Left = 0.970, MRR Right = 0.968
Epoch 280: MRR Left = 0.970, MRR Right = 0.969
Epoch 285: MRR Left = 0.969, MRR Right = 0.968
Epoch 290: MRR Left = 0.970, MRR Right = 0.969
Epoch 295: MRR Left = 0.970, MRR Right = 0.969
Epoch 300: MRR Left = 0.970, MRR Right = 0.970
Epoch 305: MRR Left = 0.969, MRR Right = 0.969
Epoch 310: MRR Left = 0.969, MRR Right = 0.969
Epoch 315: MRR Left = 0.969, MRR Right = 0.969
Epoch 320: MRR Left = 0.970, MRR Right = 0.969
Epoch 325: MRR Left = 0.969, MRR Right = 0.970
Epoch 330: MRR Left = 0.969, MRR Right = 0.970
Epoch 335: MRR Left = 0.969, MRR Right = 0.970
Epoch 340: MRR Left = 0.969, MRR Right = 0.970
