Epoch 5: MRR Left = 0.915, MRR Right = 0.908
Epoch 10: MRR Left = 0.918, MRR Right = 0.915
Epoch 15: MRR Left = 0.920, MRR Right = 0.917
Epoch 20: MRR Left = 0.921, MRR Right = 0.918
Epoch 25: MRR Left = 0.921, MRR Right = 0.919
Epoch 30: MRR Left = 0.922, MRR Right = 0.919
Epoch 35: MRR Left = 0.923, MRR Right = 0.919
Epoch 40: MRR Left = 0.923, MRR Right = 0.919
Epoch 45: MRR Left = 0.923, MRR Right = 0.919
Epoch 50: MRR Left = 0.924, MRR Right = 0.920
Epoch 55: MRR Left = 0.924, MRR Right = 0.920
Epoch 60: MRR Left = 0.924, MRR Right = 0.920
Epoch 65: MRR Left = 0.924, MRR Right = 0.920
Epoch 70: MRR Left = 0.924, MRR Right = 0.920
Epoch 75: MRR Left = 0.925, MRR Right = 0.920
Epoch 80: MRR Left = 0.925, MRR Right = 0.921
Epoch 85: MRR Left = 0.925, MRR Right = 0.921
Epoch 90: MRR Left = 0.925, MRR Right = 0.921
Epoch 95: MRR Left = 0.925, MRR Right = 0.921
Epoch 100: MRR Left = 0.925, MRR Right = 0.921
Epoch 105: MRR Left = 0.925, MRR Right = 0.922
Epoch 110: MRR Left = 0.925, MRR Right = 0.922
Epoch 115: MRR Left = 0.925, MRR Right = 0.922
Epoch 120: MRR Left = 0.925, MRR Right = 0.922
Epoch 125: MRR Left = 0.926, MRR Right = 0.923
Epoch 130: MRR Left = 0.926, MRR Right = 0.922
Epoch 135: MRR Left = 0.926, MRR Right = 0.923
Epoch 140: MRR Left = 0.926, MRR Right = 0.923
Epoch 145: MRR Left = 0.926, MRR Right = 0.923
Epoch 150: MRR Left = 0.926, MRR Right = 0.923
Epoch 155: MRR Left = 0.926, MRR Right = 0.923
Epoch 160: MRR Left = 0.926, MRR Right = 0.924
Epoch 165: MRR Left = 0.926, MRR Right = 0.924
Epoch 170: MRR Left = 0.926, MRR Right = 0.924
Epoch 175: MRR Left = 0.927, MRR Right = 0.924
Epoch 180: MRR Left = 0.926, MRR Right = 0.924
Epoch 185: MRR Left = 0.927, MRR Right = 0.924
Epoch 190: MRR Left = 0.927, MRR Right = 0.924
Epoch 195: MRR Left = 0.927, MRR Right = 0.924
Epoch 200: MRR Left = 0.927, MRR Right = 0.924
Epoch 205: MRR Left = 0.927, MRR Right = 0.924
Epoch 210: MRR Left = 0.927, MRR Right = 0.924
Epoch 215: MRR Left = 0.927, MRR Right = 0.924
Epoch 220: MRR Left = 0.927, MRR Right = 0.924
Epoch 225: MRR Left = 0.927, MRR Right = 0.924
Epoch 230: MRR Left = 0.927, MRR Right = 0.924
Epoch 235: MRR Left = 0.927, MRR Right = 0.924
Epoch 240: MRR Left = 0.927, MRR Right = 0.925
Epoch 245: MRR Left = 0.927, MRR Right = 0.924
Epoch 250: MRR Left = 0.927, MRR Right = 0.925
Epoch 255: MRR Left = 0.927, MRR Right = 0.924
Epoch 260: MRR Left = 0.927, MRR Right = 0.924
Epoch 265: MRR Left = 0.927, MRR Right = 0.924
Epoch 270: MRR Left = 0.927, MRR Right = 0.925
Epoch 275: MRR Left = 0.927, MRR Right = 0.925
Epoch 280: MRR Left = 0.927, MRR Right = 0.925
Epoch 285: MRR Left = 0.927, MRR Right = 0.925
Epoch 290: MRR Left = 0.927, MRR Right = 0.925
Epoch 295: MRR Left = 0.927, MRR Right = 0.925
Epoch 300: MRR Left = 0.927, MRR Right = 0.925
Epoch 305: MRR Left = 0.927, MRR Right = 0.925
Epoch 310: MRR Left = 0.927, MRR Right = 0.925
Epoch 315: MRR Left = 0.927, MRR Right = 0.925
Epoch 320: MRR Left = 0.927, MRR Right = 0.925
Epoch 325: MRR Left = 0.927, MRR Right = 0.925
Epoch 330: MRR Left = 0.927, MRR Right = 0.926
Epoch 335: MRR Left = 0.928, MRR Right = 0.925
Epoch 340: MRR Left = 0.928, MRR Right = 0.925
