Epoch 5: MRR Left = 0.798, MRR Right = 0.784
Epoch 10: MRR Left = 0.805, MRR Right = 0.794
Epoch 15: MRR Left = 0.810, MRR Right = 0.798
Epoch 20: MRR Left = 0.812, MRR Right = 0.798
Epoch 25: MRR Left = 0.815, MRR Right = 0.803
Epoch 30: MRR Left = 0.819, MRR Right = 0.805
Epoch 35: MRR Left = 0.822, MRR Right = 0.807
Epoch 40: MRR Left = 0.826, MRR Right = 0.810
Epoch 45: MRR Left = 0.828, MRR Right = 0.811
Epoch 50: MRR Left = 0.830, MRR Right = 0.813
Epoch 55: MRR Left = 0.832, MRR Right = 0.816
Epoch 60: MRR Left = 0.832, MRR Right = 0.818
Epoch 65: MRR Left = 0.834, MRR Right = 0.820
Epoch 70: MRR Left = 0.835, MRR Right = 0.820
Epoch 75: MRR Left = 0.836, MRR Right = 0.820
Epoch 80: MRR Left = 0.838, MRR Right = 0.821
Epoch 85: MRR Left = 0.839, MRR Right = 0.823
Epoch 90: MRR Left = 0.840, MRR Right = 0.824
Epoch 95: MRR Left = 0.840, MRR Right = 0.824
Epoch 100: MRR Left = 0.841, MRR Right = 0.824
Epoch 105: MRR Left = 0.842, MRR Right = 0.825
Epoch 110: MRR Left = 0.842, MRR Right = 0.826
Epoch 115: MRR Left = 0.842, MRR Right = 0.826
Epoch 120: MRR Left = 0.842, MRR Right = 0.825
Epoch 125: MRR Left = 0.844, MRR Right = 0.827
Epoch 130: MRR Left = 0.843, MRR Right = 0.826
Epoch 135: MRR Left = 0.843, MRR Right = 0.827
Epoch 140: MRR Left = 0.841, MRR Right = 0.826
Epoch 145: MRR Left = 0.844, MRR Right = 0.828
Epoch 150: MRR Left = 0.844, MRR Right = 0.827
Epoch 155: MRR Left = 0.842, MRR Right = 0.827
Epoch 160: MRR Left = 0.843, MRR Right = 0.827
Epoch 165: MRR Left = 0.845, MRR Right = 0.829
Epoch 170: MRR Left = 0.845, MRR Right = 0.828
Epoch 175: MRR Left = 0.846, MRR Right = 0.829
Epoch 180: MRR Left = 0.843, MRR Right = 0.828
Epoch 185: MRR Left = 0.845, MRR Right = 0.829
Epoch 190: MRR Left = 0.845, MRR Right = 0.829
Epoch 195: MRR Left = 0.845, MRR Right = 0.831
Epoch 200: MRR Left = 0.844, MRR Right = 0.829
Epoch 205: MRR Left = 0.846, MRR Right = 0.830
Epoch 210: MRR Left = 0.844, MRR Right = 0.830
Epoch 215: MRR Left = 0.843, MRR Right = 0.832
Epoch 220: MRR Left = 0.842, MRR Right = 0.831
Epoch 225: MRR Left = 0.846, MRR Right = 0.832
Epoch 230: MRR Left = 0.844, MRR Right = 0.830
Epoch 235: MRR Left = 0.843, MRR Right = 0.832
Epoch 240: MRR Left = 0.840, MRR Right = 0.831
Epoch 245: MRR Left = 0.846, MRR Right = 0.832
Epoch 250: MRR Left = 0.844, MRR Right = 0.830
Epoch 255: MRR Left = 0.842, MRR Right = 0.833
Epoch 260: MRR Left = 0.842, MRR Right = 0.830
Epoch 265: MRR Left = 0.846, MRR Right = 0.831
Epoch 270: MRR Left = 0.844, MRR Right = 0.830
Epoch 275: MRR Left = 0.844, MRR Right = 0.834
Epoch 280: MRR Left = 0.843, MRR Right = 0.831
Epoch 285: MRR Left = 0.846, MRR Right = 0.831
Epoch 290: MRR Left = 0.846, MRR Right = 0.831
Epoch 295: MRR Left = 0.846, MRR Right = 0.834
Epoch 300: MRR Left = 0.844, MRR Right = 0.833
Epoch 305: MRR Left = 0.846, MRR Right = 0.832
Epoch 310: MRR Left = 0.847, MRR Right = 0.833
Epoch 315: MRR Left = 0.844, MRR Right = 0.836
Epoch 320: MRR Left = 0.843, MRR Right = 0.834
Epoch 325: MRR Left = 0.845, MRR Right = 0.834
Epoch 330: MRR Left = 0.846, MRR Right = 0.834
Epoch 335: MRR Left = 0.845, MRR Right = 0.837
Epoch 340: MRR Left = 0.842, MRR Right = 0.834
